noun,adjective,verb,preposition,phrase,latin_translation,genitive,accusative,gender,declination,english_translation,english_definition,german_translation,slovak_translation,german_definition,slovak_definition,spanish_translation,spanish_definition,norvegian_translation,norwegian_definition,icelandic_translation,icelandic_definition
1,0,0,0,0,Acrophobia,Acrophobiae,Acrophobiam,f.,1st,Acrophobia,Fear of heights,Höhenangst,Akrofóbia,Höhenangst,Strach z výšok,Acrofobia,Miedo a las alturas,Akrofobi,Høydeskrekk,Acrophobia,Ótti við hæðir
1,0,0,0,0,Acus,Acūs,Acum,f.,4th,Needle,Sharp pointed instrument,Nadel,Štrbina,Scharfes spitzes Instrument,Ostrý prístroj,Aguja,Instrumento puntiagudo,Nål,Skarpt spiss instrument,Nál,Skarpt áberandi hljóðfæri
1,0,0,0,0,Acutus,Acuti,Acutum,m.,2nd,Acute,"Sharp, severe",Akut,Akútny,"Scharf, schwer","Ostré, ťažké",Agudo,"Agudo, severo",Akutt,"Skarp, alvorlig",Bráð,"Skarpur, alvarlegur"
0,0,0,1,0,Ad (Acc.),,,,,"To, Toward",,"Zu, in Richtung",Do smerom k,,,"A, hacia",,"Til, mot",,"Til, í átt að",
1,0,0,0,0,Adductor,Adductoris,Adductorem,m.,3rd,Adductor,A muscle that moves a limb toward the midline of the body,Adduktor,Aduktor,"Ein Muskel, der ein Glied zur Mittellinie des Körpers bewegt","Sval, ktorý pohybuje končatinou smerom k stredovej línii tela",Aductor,Un músculo que mueve una extremidad hacia la línea media del cuerpo,Adductor,En muskel som beveger en lem mot kroppens midtlinje,Appuctor,Vöðvi sem færir útlim í átt að miðlínu líkamans
1,0,0,0,0,Adenectomia,Adenectomiae,Adenectomiam,f.,1st,Adenectomy,Surgical removal of a gland,Adenektomie,Adenektómia,Chirurgische Entfernung einer Drüse,Chirurgické odstránenie žľazy,Adenectomía,Eliminación quirúrgica de una glándula,Adenektomi,Kirurgisk fjerning av en kjertel,Kirtilæxli,Skurðaðgerð á kirtli
1,0,0,0,0,Adenocarcinoma,Adenocarcinomae,Adenocarcinomam,f.,1st,Adenocarcinoma,Cancer of glandular epithelium,Adenokarzinom,Adenokarcinóm,Drüsenepithelkrebs Krebs,Rakovina glandulárneho epitelu,Adenocarcinoma,Cáncer de epitelio glandular,Adenokarsinom,Kreft i kjertelpitel,Kirtilkrabbamein,Krabbamein í kirtlaþekju
1,0,0,0,0,Adeps,Adipis,Adipem,m.,3rd,Fat,Lipid substance,Fett,Tuk,Lipidsubstanz,Lipidová látka,Gordo,Sustancia lipídica,Fett,Lipidstoff,Feitur,Lípíðefni
1,0,0,0,0,Adipositas,Adipositasis,Adipositatem,f.,3rd,Adiposity,Obesity condition,Adipositas,Adipozita,Fettleibigkeit,Obozračný stav,Adiposidad,Condición de obesidad,Adipositet,Overvektstilstand,Adiposity,Offituástand
0,1,0,0,0,Adiposus,Adiposi,Adiposum,,,Adipose,Relating to fat,Fett,Tub,In Bezug auf Fett,Týkajúce sa tuku,Adiposo,Relacionado con la grasa,Adipose,Relatert til fett,Fitu,Sem tengjast fitu
1,0,0,0,0,Aditus,Aditi,Aditum,m.,2nd,Entrance,Opening or passage,Eingang,Vstup,Öffnung oder Passage,Otváranie alebo priechod,Entrada,Abertura o pasaje,Inngang,Åpning eller passasje,Inngangur,Opnun eða leið
1,0,0,0,0,Adultus,Adulti,Adultum,m.,2nd,Adult,Fully grown person,Erwachsene,Dospelý,Ausgewachsene Person,Plne dospelý človek,Adulto,Persona completamente adulta,Voksen,Fullt voksen person,Fullorðinn,Fullvaxin manneskja
1,0,0,0,0,Aegrotus,Aegroti,Aegrotum,m.,2nd,Sick person,Ill individual,Kranke,Chorý človek,Ill Individuum,Chorý jednotlivec,Enfermo,Mal individuo,Syk person,Dårlig individ,Veik manneskja,Ill einstaklingur
0,1,0,0,0,Aequalis,Aequalis,Aequalem,,,Equal,Of the same value,Gleich,Rovnaký,Gleichwertig,Rovnaká hodnota,Igual,Del mismo valor,Lik,Av samme verdi,Jafnt,Af sama gildi
0,1,0,0,0,Afferens,Afferentis,Afferentem,,,Afferent,Carrying towards,Afferent,Aferentný,Transportieren,Prenášať,Aferente,Llevando hacia,Afferent,Bære mot,Afferent,Bera í átt að
1,0,0,0,0,Agoraphobia,Agoraphobiae,Agoraphobiam,f.,1st,Agoraphobia,Fear of open spaces,Agoraphobie,Agorafóbia,Angst vor offenen Räumen,Strach z otvorených priestorov,Agorafobia,Miedo a los espacios abiertos,Agorafobi,Frykt for åpne områder,Agoraphobia,Ótti við opið rými
0,1,0,0,0,Alaris,Alaris,Alarem,,,Alar,Related to or resembling a wing,Alar,Alar,Im Zusammenhang mit oder ähneln einem Flügel,Súvisí s krídlom alebo pripomínajú,Del ala,Relacionado con o parecido a un ala,Alar,Relatert til eller ligner en vinge,ALAR,Tengt eða líkist væng
1,0,0,0,0,Albus,Albi,Album,m.,2nd,White,Color descriptor,Weiß,Biely,Farbdeskriptor,Deskriptor farieb,Blanco,Descriptor de color,Hvit,Fargebeskrivelse,Hvítur,Litalýsandi
1,0,0,0,0,Alcoholismus,Alcoholismi,Alcoholismum,m.,2nd,Alcoholism,Chronic alcohol addiction,Alkoholismus,Alkoholizmus,Chronische Alkoholabhängigkeit,Chronická závislosť od alkoholu,Alcoholismo,Adicción al alcohol crónico,Alkoholisme,Kronisk alkoholavhengighet,Áfengissýki,Langvinn áfengisfíkn
1,0,0,0,0,Alienus,Alieni,Alienum,m.,2nd,Foreign,Not belonging,Ausländisch,Zahraničný,Keine Zugehörigkeit,Nepodarí,Extranjero,No perteneciente,Fremmed,Ikke tilhører,Erlent,Ekki tilheyra
1,0,0,0,0,Allergia,Allergiae,Allergiam,f.,1st,Allergy,Hypersensitivity reaction,Allergie,Alergia,Überempfindlichkeitsreaktion,Precitlivenosť,Alergia,Reacción de hipersensibilidad,Allergi,Overfølsomhetsreaksjon,Ofnæmi,Ofnæmisviðbrögð
0,1,0,0,0,Allergicus,Allergici,Allergicum,,,Allergic,Relating to allergies,Allergisch,Alergický,In Bezug auf Allergien,Týkajúce sa alergií,Alérgico,Relacionado con alergias,Allergisk,Knyttet til allergier,Ofnæmi,Sem tengjast ofnæmi
0,1,0,0,0,Alveolaris,Alveolaris,Alveolarem,,,Alveolar,Relating to alveoli,Alveolar,Alveolárny,In Bezug auf Alveoli,Týkajúce sa alveol,Alveolar,Relacionado con alveoli,Alveolar,Relatert til alveoler,Alveolar,Sem tengjast lungnabólgu
0,1,0,0,0,Amniocentesis,Amniocentesis,Amniocentesim,,,Amniocentesis,Aspiration of amniotic fluid,Amniozentese,Amniocentéza,Amniotika -Flüssigkeit,Aspirácia plodovej tekutiny,Amniocentesis,Aspiración de fluido amniótico,Amniocentesis,Aspirasjon av fostervann,Leiðbeiningar,Sog á legvatn
1,0,0,0,0,Ampulla,Ampullae,Ampullam,f.,1st,Ampulla,Dilated vessel part,Ampulle,Ampulla,Erweiterter Schiffsteil,Dilatačná plavidlo,Ampolla,Parte del vaso dilatado,Ampulla,Utvidet fartøydel,Ampulla,Útvíkkað skipshluta
1,0,0,0,0,Amputatio,Amputationis,Amputationem,f.,3rd,Amputation,Surgical limb removal,Amputation,Amputácia,Chirurgische Gliedmaßenentfernung,Odstránenie chirurgickej končatiny,Amputación,Extracción quirúrgica de las extremidades,Amputasjon,Fjerning av kirurgisk lem,Aflimun,Fjarlæging skurðaðgerða
1,0,0,0,0,Amygdala,Amygdalae,Amygdalem,f.,1st,Amygdala,Almond-shaped brain part,Amygdala,Amygdala,Mandelförmiger Gehirnteil,Časť mozgu v tvare mandľového,Amígdala,Parte del cerebro en forma de almendra,Amygdala,Mandelformet hjernedel,Amygdala,Möndlulaga heilahluti
1,0,0,0,0,Anaemia,Anaemiae,Anaemiam,f.,1st,Anemia,Low red blood cell count,Anämie,Anémia,Anzahl der niedrigen roten Blutkörperchenzahl,Nízko červená krvinka,Anemia,Bajo recuento de glóbulos rojos,Anemi,Lavt røde blodlegemer,Blóðleysi,Fjöldi rauðra blóðkorna
1,0,0,0,0,Anaerobicus,Anaerobici,Anaerobicum,m.,2nd,Anaerobic,Living without oxygen,Anaerob,Anaeróbny,Ohne Sauerstoff leben,Život bez kyslíka,Anaeróbico,Viviendo sin oxígeno,Anaerob,Lever uten oksygen,Loftfirrðar,Að lifa án súrefnis
1,0,0,0,0,Anaesthesia,Anaesthesiae,Anaesthesiam,f.,1st,Anesthesia,Loss of sensation,Anästhesie,Anestézia,Verlust der Empfindung,Strata pocitu,Anestesia,Pérdida de sensación,Anestesi,Tap av sensasjon,Svæfing,Tilfinningartap
0,1,0,0,0,Analis,Analis,Analem,,,Anal,Relating to the anus,Anal,Análny,In Bezug auf den Anus,Týkajúce sa konečníka,Anal,Relacionado con el ano,Anal,Relatert til anus,Einshliða,Sem tengjast endaþarmsopinu
0,1,0,0,0,Analysis,Analysis,Analysim,,,Analysis,Breaking down into elements,Analyse,Analýza,In Elemente ausbrechen,Rozdelenie na prvky,Análisis,Descomponerse en elementos,Analyse,Bryte ned i elementer,Greining,Brjótast niður í þætti
1,0,0,0,0,Anatomia,Anatomiae,Anatomiam,f.,1st,Anatomy,Study of body structure,Anatomie,Anatómia,Untersuchung der Körperstruktur,Štúdium štruktúry tela,Anatomía,Estudio de la estructura corporal,Anatomi,Studie av kroppsstruktur,Líffærafræði,Rannsókn á líkamsbyggingu
0,1,0,0,0,Anatomicus,Anatomici,Anatomicum,,,Anatomical,Relating to anatomy,Anatomisch,Anatomický,In Bezug auf Anatomie,Týkajúce sa anatómie,Anatómico,Relacionado con la anatomía,Anatomisk,Relatert til anatomi,Líffærafræði,Sem tengjast líffærafræði
1,0,0,0,0,Aneurysma,Aneurysmae,Aneurysmam,f.,1st,Aneurysm,Localized vessel dilation,Aneurysma,Aneuryzma,Lokalisierte Gefäßdilatation,Lokalizovaná dilatácia plavidla,Aneurisma,Dilatación de embarcaciones localizadas,Aneurisme,Lokalisert fartøyutvidelse,Aneurysm,Staðbundin útvíkkun skips
1,0,0,0,0,Angioma,Angiomae,Angiomam,f.,1st,Angioma,Tumor in blood vessels,Angiom,Angióm,Tumor in Blutgefäßen,Nádor v krvných cievach,Angioma,Tumor en vasos sanguíneos,Angioma,Svulst i blodkar,Angioma,Æxli í æðum
0,1,0,0,0,Angiosclerosis,Angiosclerosis,Angiosclerosim,,,Angiosclerosis,Hardening of vessel walls,Angiosklerose,Angioskleróza,Verhärten von Gefäßwänden,Kalenie múrov plavidiel,Angiosclerosis,Endurecimiento de las paredes de los vasos,Angiosklerose,Herding av karvegger,Æðakölkun,Herða skipsveggjum
1,0,0,0,0,Angulus,Anguli,Angulum,m.,2nd,Angle,Corner or bend,Winkel,Uhol,Ecke oder Biegung,Roh alebo ohnúť sa,Ángulo,Esquina o curva,Vinkel,Hjørne eller bøy,Horn,Horn eða beygja
1,0,0,0,0,Anomalia,Anomaliae,Anomaliam,f.,1st,Anomaly,Defect or irregularity,Anomalie,Anomália,Defekt oder Unregelmäßigkeit,Defekt alebo nezrovnalosť,Anomalía,Defecto o irregularidad,Anomali,Defekt eller uregelmessighet,Frávik,Galli eða óreglu
1,0,0,0,0,Anuria,Anuriae,Anuriam,f.,1st,Anuria,Failure to urinate,Anuria,Anuria,Versäumnis zu urinieren,Neschopnosť močiť,Anuria,No orinar,Anuria,Unnlatelse av å urinere,Anuria,Bilun í þvaglát
1,0,0,0,0,Anus,Ani,Anum,m.,2nd,Anus,Inferior opening of anal canal,Anus,Konečník,Minderwertige Öffnung des Analkanals,Nižšie otvorenie análneho kanála,Ano,Apertura inferior del canal anal,Anus,Underordnet åpning av analkanal,Endaþarmsop,Óæðri opnun endaþarmsskurðar
1,0,0,0,0,Antagonista,Antagonistae,Antagonistam,f.,1st,Antagonist,Opposing muscle action,Antagonist,Antagonista,Gegen Muskelaktion,Protichodné svalové pôsobenie,Antagonista,Acción muscular oponente,Antagonist,Motstridende muskelhandling,Andstæðingur,Andstæðar vöðvaaðgerðir
0,0,0,1,0,Ante (Acc.),,,,,Before,,Vor,Pred,,,Antes,,Før,,Áður,
1,0,0,0,0,Antebrachium,Antebrachii,Antebrachium,n.,2nd,Forearm,Part of the arm,Unterarm,Predlaktie,Teil des Arms,Časť ruky,Antebrazo,Parte del brazo,Underarm,En del av armen,Framhandlegg,Hluti af handleggnum
1,0,0,0,0,Anteflexio,Anteflexionis,Anteflexionem,f.,3rd,Anteflexion,Forward bending,Anteflexion,Anteflexia,Vorwärtsbiegung,Ohýbanie,Anteflexión,Doblado hacia adelante,Antefleksjon,Fremoverbøyning,Anteflexion,Áfram beygja
1,0,0,0,0,Antepositio,Antepositionis,Antepositionem,f.,3rd,Anteposition,Forward positioning,Anposition,Antepozícia,Vorwärtspositionierung,Poloha orgánu vpred,Anteposición,Posicionamiento hacia adelante,Anteposisjon,Fremoverposisjonering,Forgjöf,Áfram staðsetningu
0,1,0,0,0,Anterior,Anterioris,Anteriorem,,,Anterior,Situated toward the front of the body,Vordere,Predný,In Richtung der Vorderseite des Körpers gelegen,Nachádza sa smerom k prednej časti tela,Anterior,Situado hacia la parte delantera del cuerpo,Fremre,Ligger mot fronten av kroppen,Fremri,Staðsett að framan líkamans
1,0,0,0,0,Antiallergicus,Antiallergici,Antiallergicum,m.,2nd,Antiallergic,Against allergy,Antiallergiker,Antialergický,Gegen Allergie,Proti alergii,Antiallérgico,Contra la alergia,Antiallergisk,Mot allergi,Antiallergic,Gegn ofnæmi
1,0,0,0,0,Antibioticum,Antibiotici,Antibioticum,n.,2nd,Antibiotic,Drug against bacterial infections,Antibiotikum,Antibiotikum,Arzneimittel gegen bakterielle Infektionen,Liek proti bakteriálnym infekciám,Antibiótico,Droga contra infecciones bacterianas,Antibiotika,Medikament mot bakterieinfeksjoner,Sýklalyf,Lyf gegn bakteríusýkingum
1,0,0,0,0,Antidiabeticus,Antidiabetici,Antidiabeticum,m.,2nd,Antidiabetic,Against diabetes,Antidiabetikum,Antidiabetický,Gegen Diabetes,Proti cukrovke,Antidiabético,Contra la diabetes,Antidiabetisk,Mot diabetes,Sjúkdómalyf,Gegn sykursýki
1,0,0,0,0,Antidotum,Antidoti,Antidotum,n.,2nd,Antidote,Counteracts poison,Gegenmittel,Antidotum,Wirkt Gift entgegen,Pôsobiť proti jedu,Antídoto,Contrarresta el veneno,Motgift,Motvirker gift,Mótefni,Snillir eitur
1,0,0,0,0,Antiemeticus,Antiemetici,Antiemeticum,m.,2nd,Antiemetic,Against vomiting,Antiemetisch,Antiemetický,Gegen Erbrechen,Proti zvracaniu,Antiemético,Contra el vómitos,Antiemetisk,Mot oppkast,Andstæðingur,Gegn uppköstum
1,0,0,0,0,Antihaemorrhagicus,Antihaemorrhagici,Antihaemorrhagicum,m.,2nd,Antihemorrhagic,Prevents bleeding,Antihämorrhagisch,Antihemoragický,Verhindert Blutungen,Zabraňuje krvácaniu,Antihemorrágico,Previene el sangrado,Antihemoragisk,Forhindrer blødning,Andhemorrhagic,Kemur í veg fyrir blæðingu
1,0,0,0,0,Antipyretica,Antipyreticae,Antipyreticam,f.,1st,Antipyretic,Fever-reducing drug,Antipyretisch,Antipyretický,Fieberreduzierender Medikament,Liek na znižovanie horúčky,Antipirético,Droga que reduce la fiebre,Antipyretisk,Feberreduserende medikament,Andlofsefni,Lyf til að draga úr hita
1,0,0,0,0,Antipyreticus,Antipyretici,Antipyreticum,m.,2nd,Antipyretic,Reduces fever,Antipyretisch,Antipyretický,Reduziert Fieber,Znižuje horúčku,Antipirético,Reduce la fiebre,Antipyretisk,Reduserer feber,Andlofsefni,Dregur úr hita
1,0,0,0,0,Antisepticus,Antiseptici,Antisepticum,m.,2nd,Antiseptic,Prevents infection,Antiseptikum,Antiseptický,Verhindert Infektionen,Zabraňuje infekcii,Antiséptico,Previene la infección,Antiseptisk middel,Forhindrer infeksjon,Sótthreinsandi,Kemur í veg fyrir sýkingu
1,0,0,0,0,Antitissicus,Antitissici,Antitissicum,m.,2nd,Antitussive,Against cough,Antitussive,Antitusívny,Gegen Husten,Proti kašľu,Antitusivo,Contra la tos,Antitussiv,Mot hoste,Kjörsjúkdómur,Gegn hósta
0,1,0,0,0,Anularis,Anularis,Anularem,,,Anular,Ring-shaped,Anular,Akulárny,Ringförmig,V tvare krúžku,Anular,En forma de anillo,Anulær,Ringformet,Anluly,Hringlaga
1,0,0,0,0,Aorta,Aortae,Aortam,f.,1st,Aorta,Largest artery,Aorta,Aorta,Größte Arterie,Najväčšia tepna,Aorta,Arteria más grande,Aorta,Største arterie,Ósæð,Stærsta slagæð
1,0,0,0,0,Apertura,Aperturae,Aperturam,f.,1st,Aperture,Opening or hole,Öffnung,Otvor,Öffnung oder Loch,Otvor alebo otvor,Abertura,Abertura o agujero,Blenderåpning,Åpning eller hull,Ljósop,Opnun eða gat
1,0,0,0,0,Apertus,Aperti,Apertum,m.,2nd,Open,Not closed,Offen,Otvorené,Nicht geschlossen,Nie zatvorený,Abierto,No cerrado,Åpne,Ikke stengt,Opið,Ekki lokað
1,0,0,0,0,Apex,Apicis,Apicem,m.,3rd,Apex,Tip of an organ,Apex,Vrchol,Spitze einer Organ,Špička orgánu,Ápex,Punta de un órgano,Toppunkt,Tips av et orgel,Toppur,Ábending um líffæri
1,0,0,0,0,Aplasia,Aplasiae,Aplasiam,f.,1st,Aplasia,Failure to develop,Aplasie,Aplázia,Versäumnis zu entwickeln,Neschopnosť rozvoja,Aplasia,No se desarrolla,Aplasi,Unnlatelse av å utvikle seg,Aplasia,Bilun í þroska
0,1,0,0,0,Appendicitis,Appendicitidis,Appendicitidem,,,Appendicitis,Inflammation of appendix,Appendizitis,Apendicitída,Entzündung des Anhangs,Zápal dodatku,Apendicitis,Inflamación del apéndice,Appendisitt,Betennelse av vedlegg,Botnlangabólga,Bólga í viðauka
1,0,0,0,0,Appendix,Appendicis,Appendicem,f.,3rd,Appendix,Small attached organ,Anhang,Príloha,Kleine angeschlossene Orgel,Pripevnený orgán,Apéndice,Pequeño órgano adjunto,Vedlegg,Lite tilknyttet organ,Viðauki,Lítið fest orgel
1,0,0,0,0,Aqua,Aquae,Aquam,f.,1st,Water,Essential substance for life,Wasser,Voda,Wesentliche Substanz fürs Leben,Základná látka na celý život,Agua,Sustancia esencial para la vida,Vann,Viktig substans for livet,Vatn,Nauðsynlegt efni fyrir lífið
1,0,0,0,0,Arachnophobia,Arachnophobiae,Arachnophobiam,f.,1st,Arachnophobia,Fear of spiders,Arachnophobie,Arachnofóbia,Angst vor Spinnen,Strach z pavúkov,Aracnofobia,Miedo a las arañas,Arachnophobia,Frykt for edderkopper,Arachnophobia,Ótti við köngulær
1,0,0,0,0,Arcuatus,Arcuati,Arcuatum,m.,2nd,Arch-shaped,Curved structure,Bogenförmig,V tvare oblúka,Gebogene Struktur,Zakrivená konštrukcia,En forma de arco,Estructura curva,Erkeformet,Buet struktur,Bogalaga,Boginn uppbygging
1,0,0,0,0,Arcus,Arci,Arcum,m.,2nd,Arch,Curved structure,Bogen,Oblúk,Gebogene Struktur,Zakrivená konštrukcia,Arco,Estructura curva,Arch,Buet struktur,Bogi,Boginn uppbygging
1,0,0,0,0,Aromaticus,Aromatici,Aromaticum,m.,2nd,Aromatic,Having a strong scent,Aromatisch,Aromatický,Einen starken Duft haben,Mať silnú vôňu,Aromático,Tener un aroma fuerte,Aromatisk,Har en sterk duft,Arómatískt,Að hafa sterka lykt
1,0,0,0,0,Ars,Artis,Artem,f.,3rd,Art,Skill or craft,Kunst,Umenia,Geschicklichkeit oder Handwerk,Zručnosť,Arte,Habilidad o artesanía,Kunst,Ferdighet eller håndverk,Art,Kunnátta eða handverk
1,0,0,0,0,Arteria,Arteriae,Arteriam,f.,1st,Artery,Blood vessel,Arterie,Tepna,Blutgefäß,Krvné cievy,Artería,Vaso sanguíneo,Arterie,Blodkar,Slagæð,Æðar
1,0,0,0,0,Arteriola,Arteriolae,Arteriolam,f.,1st,Arteriole,Small artery,Arteriole,Arteriole,Kleine Arterie,Malá tepna,Arteriola,Arteria pequeña,Arteriole,Liten arterie,Arteriole,Lítil slagæð
0,1,0,0,0,Arteriosclerosis,Arteriosclerosis,Arteriosclerosim,,,Arteriosclerosis,Hardening of arteries,Arteriosklerose,Arterioskleróza,Verhärtung von Arterien,Kalenie tepien,Arteriosclerosis,Endurecimiento de las arterias,Arteriosklerose,Herding av arterier,Arteriosclerosis,Herða slagæðar
0,1,0,0,0,Arthritis,Arthritidis,Arthritidem,,,Arthritis,Inflammation of joints,Arthritis,Artritída,Entzündung der Gelenke,Zápal kĺbov,Artritis,Inflamación de las articulaciones,Leddgikt,Betennelse i leddene,Liðagigt,Bólga í liðum
0,1,0,0,0,Arthrosis,Arthrosis,Arthrosim,,,Arthrosis,Joint degeneration,Arthrose,Artróza,Gemeinsame Degeneration,Degenerácia,Artrosis,Degeneración conjunta,Artrose,Felles degenerasjon,Liðagigt,Sameiginleg hrörnun
0,1,0,0,0,Articularis,Articularis,Articularem,,,Articular,Relating to a joint,Gelenk,Kĺbový,In Bezug auf eine Verbindung,Týkajúce sa kĺbu,Articular,Relacionado con una articulación,Artikulær,Relatert til et ledd,Articular,Sem tengjast samskeyti
1,0,0,0,0,Articulatio,Articulationis,Articulationem,f.,3rd,Articulation,Joint connection,Artikulation,Kĺzanie,Gemeinsame Verbindung,Spojenie,Articulación,Conexión conjunta,Artikulasjon,Fellesforbindelse,Liðskipting,Sameiginleg tenging
0,1,0,0,0,Ascendens,Ascendentis,Ascendentem,,,Ascending,Moving upwards,Aufsteigend,Vzostupný,Nach oben bewegen,Pohybovať sa hore,Ascendente,Moviéndose hacia arriba,Stigende,Beveger seg oppover,Stígandi,Að flytja upp
1,0,0,0,0,Ascites,Asciteos,Ascitem,f.,5th,Ascites,Fluid accumulation in abdomen,Aszites,Udelenie,Flüssigkeitsakkumulation im Bauch,Hromadenie tekutín v bruchu,Ascitis,Acumulación de fluido en el abdomen,Ascites,Væskeansamling i magen,Uppstig,Vökvasöfnun í kvið
0,1,0,0,0,Atrioventricularis,Atrioventricularis,Atrioventricularem,,,Atrioventricular,Relating to atrium and ventricle,Atrioventrikulär,Atrioventrikulárny,In Bezug auf Atrium und Ventrikel,Týkajúce sa predsiení a komory,Atioventricular,Relacionado con atrio y ventrículo,Atrioventrikulær,Relatert til atrium og ventrikkel,Atrioventricular,Sem tengjast atrium og slegli
1,0,0,0,0,Atrium,Atrii,Atrium,n.,2nd,Atrium,Upper chamber of the heart,Atrium,Predsieň,Oberkammer des Herzens,Horná komora srdca,Atrio,Cámara superior del corazón,Atrium,Øvre hjertekammer,Atrium,Efri hólf hjartans
1,0,0,0,0,Atypicus,Atypici,Atypicum,m.,2nd,Atypical,Not typical,Atypisch,Atypický,Nicht typisch,Nie typický,Atípico,No típico,Atypisk,Ikke typisk,Afbrigðileg,Ekki dæmigert
1,0,0,0,0,Auditus,Auditi,Auditum,m.,2nd,Hearing,Sense of hearing,Anhörung,Vypočutie,Hörgefühl,Zmysel pre vypočutie,Audiencia,Sentido de la audición,Hørsel,Følelse av hørsel,Heyrnarmál,Heyrnartilfinning
0,1,0,0,0,Auricularis,Auricularis,Auricularem,,,Auricular,Relating to the ear,Aurikulär,Osudový,In Bezug auf das Ohr,Týkajúce sa ucha,Auricular,Relacionado con el oído,Aurikulær,Relatert til øret,Auricular,Sem tengjast eyranu
0,1,0,0,0,Auris,Auris,Aurem,,,Ear,Hearing organ,Ohr,Ucho,Hörorgan,Vypočúvaný orgán,Oreja,Órgano oyente,Øre,Høringsorgan,Eyra,Heyrnarfæri
