english_name,slovak_name,atc_primary,atc_all
magnesium oxide,,A02AA02,A06AD02;A12CC10
magnesium peroxide,,A02AA03,A06AD03
magnesium hydroxide,,A02AA04,G04BX01
magnesium silicate,,A02AA05,
aluminium hydroxide,,A02AB01,
algeldrate,,A02AB02,
aluminium phosphate,,A02AB03,
dihydroxialumini sodium carbonate,,A02AB04,
aluminium acetoacetate,,A02AB05,
aloglutamol,,A02AB06,
aluminium glycinate,,A02AB07,
calcium carbonate,,A02AC01,A12AA04
calcium silicate,,A02AC02,
ordinary salt combinations,,A02AD01,
magaldrate,,A02AD02,
almagate,,A02AD03,
hydrotalcite,,A02AD04,
almasilate,,A02AD05,
magaldrate and antiflatulents,,A02AF01,
ordinary salt combinations and antiflatulents,,A02AF02,
cimetidine,,A02BA01,
ranitidine,,A02BA02,
famotidine,,A02BA03,
nizatidine,,A02BA04,
niperotidine,,A02BA05,
roxatidine,,A02BA06,
ranitidine bismuth citrate,,A02BA07,
lafutidine,,A02BA08,
"cimetidine, combinations",,A02BA51,
"famotidine, combinations",,A02BA53,
misoprostol,,A02BB01,G02AD06
enprostil,,A02BB02,
omeprazole,,A02BC01,
pantoprazole,,A02BC02,
lansoprazole,,A02BC03,
rabeprazole,,A02BC04,
esomeprazole,,A02BC05,
dexlansoprazole,,A02BC06,
dexrabeprazole,,A02BC07,
vonoprazan,,A02BC08,
tegoprazan,,A02BC09,
"omeprazole, combinations",,A02BC51,
"lansoprazole, combinations",,A02BC53,
"rabeprazole, combinations",,A02BC54,
"omeprazole, amoxicillin and metronidazole",,A02BD01,
"lansoprazole, tetracycline and metronidazole",,A02BD02,
"lansoprazole, amoxicillin and metronidazole",,A02BD03,
"pantoprazole, amoxicillin and clarithromycin",,A02BD04,
"omeprazole, amoxicillin and clarithromycin",,A02BD05,
"esomeprazole, amoxicillin and clarithromycin",,A02BD06,
"lansoprazole, amoxicillin and clarithromycin",,A02BD07,
"bismuth subcitrate, tetracycline and metronidazole",,A02BD08,
"lansoprazole, clarithromycin and tinidazole",,A02BD09,
"lansoprazole, amoxicillin and levofloxacin",,A02BD10,
"pantoprazole, amoxicillin, clarithromycin and metronidazole",,A02BD11,
"rabeprazole, amoxicillin and clarithromycin",,A02BD12,
"rabeprazole, amoxicillin and metronidazole",,A02BD13,
"vonoprazan, amoxicillin and clarithromycin",,A02BD14,
"vonoprazan, amoxicillin and metronidazole",,A02BD15,
"omeprazole, amoxicillin and rifabutin",,A02BD16,
vonoprazan and amoxicillin,,A02BD17,
carbenoxolone,,A02BX01,
sucralfate,,A02BX02,
pirenzepine,,A02BX03,
methiosulfonium chloride,,A02BX04,
bismuth subcitrate,,A02BX05,
proglumide,,A02BX06,
gefarnate,,A02BX07,
sulglicotide,,A02BX08,
acetoxolone,,A02BX09,
zolimidine,,A02BX10,
troxipide,,A02BX11,
bismuth subnitrate,,A02BX12,
alginic acid,,A02BX13,
rebamipide,,A02BX14,
teprenone,,A02BX15,
irsogladine,,A02BX16,
"carbenoxolone, combinations excl. psycholeptics",,A02BX51,
"carbenoxolone, combinations with psycholeptics",,A02BX71,
"gefarnate, combinations with psycholeptics",,A02BX77,
oxyphencyclimine,,A03AA01,
camylofin,,A03AA03,
mebeverine,,A03AA04,
trimebutine,,A03AA05,
rociverine,,A03AA06,
dicycloverine,,A03AA07,
dihexyverine,,A03AA08,
difemerine,,A03AA09,
piperidolate,,A03AA30,
benzilone,,A03AB01,
glycopyrronium bromide,,A03AB02,R03BB06
oxyphenonium,,A03AB03,
penthienate,,A03AB04,
propantheline,,A03AB05,
otilonium bromide,,A03AB06,
methantheline,,A03AB07,
tridihexethyl,,A03AB08,
isopropamide,,A03AB09,
hexocyclium,,A03AB10,
poldine,,A03AB11,
mepenzolate,,A03AB12,
bevonium,,A03AB13,
pipenzolate,,A03AB14,
diphemanil,,A03AB15,
(2-benzhydryloxyethyl)diethyl-methylammonium iodide,,A03AB16,
tiemonium iodide,,A03AB17,
prifinium bromide,,A03AB18,
timepidium bromide,,A03AB19,
fenpiverinium,,A03AB21,
"oxyphenonium, combinations",,A03AB53,
dimethylaminopropionylphenothiazine,,A03AC02,
nicofetamide,,A03AC04,
tiropramide,,A03AC05,
papaverine,,A03AD01,G04BE02
drotaverine,,A03AD02,
moxaverine,,A03AD30,
alosetron,,A03AE01,
cilansetron,,A03AE03,
fenpiprane,,A03AX01,
diisopromine,,A03AX02,
chlorbenzoxamine,,A03AX03,
pinaverium,,A03AX04,
fenoverine,,A03AX05,
idanpramine,,A03AX06,
proxazole,,A03AX07,
alverine,,A03AX08,
trepibutone,,A03AX09,
isometheptene,,A03AX10,
caroverine,,A03AX11,
phloroglucinol,,A03AX12,
silicones,,A03AX13,
valethamate,,A03AX14,
menthae piperitae aetheroleum,,A03AX15,
trimethyldiphenylpropylamine,,A03AX30,
"alverine, combinations",,A03AX58,
atropine,,A03BA01,S01FA01
hyoscyamine,,A03BA03,
belladonna total alkaloids,,A03BA04,
butylscopolamine,,A03BB01,
methylatropine,,A03BB02,
methylscopolamine,,A03BB03,S01FA03
fentonium,,A03BB04,
cimetropium bromide,,A03BB05,
homatropine methylbromide,,A03BB06,
isopropamide and psycholeptics,,A03CA01,
clidinium and psycholeptics,,A03CA02,
oxyphencyclimine and psycholeptics,,A03CA03,
otilonium bromide and psycholeptics,,A03CA04,
glycopyrronium bromide and psycholeptics,,A03CA05,
bevonium and psycholeptics,,A03CA06,
ambutonium and psycholeptics,,A03CA07,
diphemanil and psycholeptics,,A03CA08,
pipenzolate and psycholeptics,,A03CA09,
emepronium and psycholeptics,,A03CA30,
propantheline and psycholeptics,,A03CA34,
methylscopolamine and psycholeptics,,A03CB01,
belladonna total alkaloids and psycholeptics,,A03CB02,
atropine and psycholeptics,,A03CB03,
homatropine methylbromide and psycholeptics,,A03CB04,
hyoscyamine and psycholeptics,,A03CB31,
tropenzilone and analgesics,,A03DA01,
pitofenone and analgesics,,A03DA02,
bevonium and analgesics,,A03DA03,
ciclonium and analgesics,,A03DA04,
camylofin and analgesics,,A03DA05,
trospium and analgesics,,A03DA06,
tiemonium iodide and analgesics,,A03DA07,
butylscopolamine and analgesics,,A03DB04,
metoclopramide,,A03FA01,
cisapride,,A03FA02,
domperidone,,A03FA03,
bromopride,,A03FA04,
alizapride,,A03FA05,
clebopride,,A03FA06,
itopride,,A03FA07,
cinitapride,,A03FA08,
mosapride,,A03FA09,
acotiamide,,A03FA10,
ondansetron,,A04AA01,
granisetron,,A04AA02,
tropisetron,,A04AA03,
dolasetron,,A04AA04,
palonosetron,,A04AA05,
"palonosetron, combinations",,A04AA55,
scopolamine,,A04AD01,N05CM05;S01FA02
cerium oxalate,,A04AD02,
chlorobutanol,,A04AD04,
metopimazine,,A04AD05,
dronabinol,,A04AD10,
nabilone,,A04AD11,
aprepitant,,A04AD12,
casopitant,,A04AD13,
rolapitant,,A04AD14,
"scopolamine, combinations",,A04AD51,
"chlorobutanol, combinations",,A04AD54,
chenodeoxycholic acid,,A05AA01,
ursodeoxycholic acid,,A05AA02,
cholic acid,,A05AA03,
obeticholic acid,,A05AA04,
ursodoxicoltaurine,,A05AA05,
nicotinyl methylamide,,A05AB01,
piprozolin,,A05AX01,
hymecromone,,A05AX02,
cyclobutyrol,,A05AX03,
maralixibat chloride,,A05AX04,
odevixibat,,A05AX05,
elafibranor,,A05AX06,
arginine glutamate,,A05BA01,
silymarin,,A05BA03,
citiolone,,A05BA04,
epomediol,,A05BA05,
ornithine oxoglurate,,A05BA06,
tidiacic arginine,,A05BA07,
glycyrrhizic acid,,A05BA08,
metadoxine,,A05BA09,
phospholipids,,A05BA10,
liquid paraffin,,A06AA01,
docusate sodium,,A06AA02,
"liquid paraffin, combinations",,A06AA51,
oxyphenisatine,,A06AB01,
bisacodyl,,A06AB02,A06AG02
dantron,,A06AB03,
phenolphthalein,,A06AB04,
castor oil,,A06AB05,
senna glycosides,,A06AB06,
cascara,,A06AB07,
sodium picosulfate,,A06AB08,
bisoxatin,,A06AB09,
contact laxatives in combination,,A06AB20,
contact laxatives in combination with belladonna alkaloids,,A06AB30,
"bisacodyl, combinations",,A06AB52,
"dantron, combinations",,A06AB53,
"senna glycosides, combinations",,A06AB56,
"cascara, combinations",,A06AB57,
"sodium picosulfate, combinations",,A06AB58,
ispaghula (psylla seeds),,A06AC01,
ethulose,,A06AC02,
sterculia,,A06AC03,
linseed,,A06AC05,
methylcellulose,,A06AC06,
triticum (wheat fibre),,A06AC07,
polycarbophil calcium,,A06AC08,
"ispaghula, combinations",,A06AC51,
"sterculia, combinations",,A06AC53,
"linseed, combinations",,A06AC55,
magnesium sulfate,,A06AD04,A12CC02;B05XA05;D11AX05;V04CC02
mineral salts in combination,,A06AD10,
lactulose,,A06AD11,
lactitol,,A06AD12,
sodium sulfate,,A06AD13,A12CA02
pentaerithrityl,,A06AD14,
macrogol,,A06AD15,
mannitol,,A06AD16,B05BC01;B05CX04;R05CB16;V04CX04
sodium phosphate,,A06AD17,A06AG01;B05XA09;V03AG05
sorbitol,,A06AD18,A06AG07;B05CX02;V04CC01
magnesium citrate,,A06AD19,A12CC04;B05CB03
sodium tartrate,,A06AD21,
"lactulose, combinations",,A06AD61,
"macrogol, combinations",,A06AD65,
"dantron, incl. combinations",,A06AG03,
glycerol,,A06AG04,A06AX01
oil,,A06AG06,
"docusate sodium, incl. combinations",,A06AG10,
"sodium lauryl sulfoacetate, incl. combinations",,A06AG11,
methylnaltrexone bromide,,A06AH01,
alvimopan,,A06AH02,
naloxegol,,A06AH03,
naloxone,,A06AH04,V03AB15
naldemedine,,A06AH05,
carbon dioxide producing drugs,,A06AX02,
lubiprostone,,A06AX03,
linaclotide,,A06AX04,
prucalopride,,A06AX05,
tegaserod,,A06AX06,
plecanatide,,A06AX07,
tenapanor,,A06AX08,
elobixibat,,A06AX09,
nystatin,,A07AA02,D01AA01;G01AA01
streptomycin,,A07AA04,J01GA01
polymyxin B,,A07AA05,J01XB02;S01AA18;S02AA11;S03AA03
paromomycin,,A07AA06,
kanamycin,,A07AA08,J01GB04;S01AA24
vancomycin,,A07AA09,J01XA01;S01AA28
colistin,,A07AA10,J01XB01
rifaximin,,A07AA11,D06AX11
fidaxomicin,,A07AA12,
rifamycin,,A07AA13,D06AX15;J04AB03;S01AA16;S02AA12
"neomycin, combinations",,A07AA51,
"streptomycin, combinations",,A07AA54,
phthalylsulfathiazole,,A07AB02,
sulfaguanidine,,A07AB03,
succinylsulfathiazole,,A07AB04,
broxyquinoline,,A07AX01,G01AC06;P01AA01
acetarsol,,A07AX02,G01AB01;P01CD02
nifuroxazide,,A07AX03,
nifurzide,,A07AX04,
medicinal charcoal,,A07BA01,
"medicinal charcoal, combinations",,A07BA51,
pectin,,A07BC01,
kaolin,,A07BC02,
crospovidone,,A07BC03,
attapulgite,,A07BC04,
diosmectite,,A07BC05,
"attapulgite, combinations",,A07BC54,
diphenoxylate,,A07DA01,
opium,,A07DA02,N02AA02
loperamide,,A07DA03,
difenoxin,,A07DA04,
loperamide oxide,,A07DA05,
eluxadoline,,A07DA06,
"morphine, combinations",,A07DA52,N02AA51
"loperamide, combinations",,A07DA53,
prednisone,,A07EA03,H02AB07
betamethasone,,A07EA04,C05AA05;D07AC01;D07XC01;H02AB01;R01AD06;R03BA04;S01BA06;S01CB04;S02BA07;S03BA03
tixocortol,,A07EA05,R01AD07
budesonide,,A07EA06,D07AC09;R01AD05;R03BA02
beclometasone,,A07EA07,D07AC15;R01AD01;R03BA01
cromoglicic acid,,A07EB01,D11AH03;R01AC01;R03BC01;S01GX01
sulfasalazine,,A07EC01,
mesalazine,,A07EC02,
olsalazine,,A07EC03,
balsalazide,,A07EC04,
lactic acid producing organisms,,A07FA01,
saccharomyces boulardii,,A07FA02,
escherichia coli,,A07FA03,
"lactic acid producing organisms, combinations",,A07FA51,
albumin tannate,,A07XA01,
ceratonia,,A07XA02,
calcium compounds,,A07XA03,
racecadotril,,A07XA04,
crofelemer,,A07XA06,
"albumin tannate, combinations",,A07XA51,
phentermine,,A08AA01,
fenfluramine,,A08AA02,N03AX26
amfepramone,,A08AA03,
dexfenfluramine,,A08AA04,
mazindol,,A08AA05,
etilamfetamine,,A08AA06,
cathine,,A08AA07,
clobenzorex,,A08AA08,
mefenorex,,A08AA09,
sibutramine,,A08AA10,
lorcaserin,,A08AA11,
setmelanotide,,A08AA12,
phentermine and topiramate,,A08AA51,
"ephedrine, combinations",,A08AA56,
bupropion and naltrexone,,A08AA62,
orlistat,,A08AB01,
rimonabant,,A08AX01,
diastase,,A09AA01,
"multienzymes (lipase, protease etc.)",,A09AA02,
pepsin,,A09AA03,
tilactase,,A09AA04,
glutamic acid hydrochloride,,A09AB01,
betaine hydrochloride,,A09AB02,
hydrochloric acid,,A09AB03,B05XA13
citric acid,,A09AB04,
pepsin and acid preparations,,A09AC01,
multienzymes and acid preparations,,A09AC02,
insulin (human),,A10AB01,A10AC01;A10AD01;A10AE01;A10AF01
insulin (beef),,A10AB02,A10AC02;A10AD02;A10AE02
insulin (pork),,A10AB03,A10AC03;A10AD03;A10AE03
insulin lispro,,A10AB04,A10AC04;A10AD04
insulin aspart,,A10AB05,A10AD05
insulin glulisine,,A10AB06,
insulin degludec and insulin aspart,,A10AD06,
insulin glargine,,A10AE04,
insulin detemir,,A10AE05,
insulin degludec,,A10AE06,
insulin icodec,,A10AE07,
insulin glargine and lixisenatide,,A10AE54,
insulin degludec and liraglutide,,A10AE56,
phenformin,,A10BA01,
metformin,,A10BA02,
buformin,,A10BA03,
glibenclamide,,A10BB01,
chlorpropamide,,A10BB02,
tolbutamide,,A10BB03,V04CA01
glibornuride,,A10BB04,
tolazamide,,A10BB05,
carbutamide,,A10BB06,
glipizide,,A10BB07,
gliquidone,,A10BB08,
gliclazide,,A10BB09,
metahexamide,,A10BB10,
glisoxepide,,A10BB11,
glimepiride,,A10BB12,
acetohexamide,,A10BB31,
glymidine,,A10BC01,
phenformin and sulfonylureas,,A10BD01,
metformin and sulfonylureas,,A10BD02,
metformin and rosiglitazone,,A10BD03,
glimepiride and rosiglitazone,,A10BD04,
metformin and pioglitazone,,A10BD05,
glimepiride and pioglitazone,,A10BD06,
metformin and sitagliptin,,A10BD07,
metformin and vildagliptin,,A10BD08,
pioglitazone and alogliptin,,A10BD09,
metformin and saxagliptin,,A10BD10,
metformin and linagliptin,,A10BD11,
pioglitazone and sitagliptin,,A10BD12,
metformin and alogliptin,,A10BD13,
metformin and repaglinide,,A10BD14,
metformin and dapagliflozin,,A10BD15,
metformin and canagliflozin,,A10BD16,
metformin and acarbose,,A10BD17,
metformin and gemigliptin,,A10BD18,
linagliptin and empagliflozin,,A10BD19,
metformin and empagliflozin,,A10BD20,
saxagliptin and dapagliflozin,,A10BD21,
metformin and evogliptin,,A10BD22,
metformin and ertugliflozin,,A10BD23,
sitagliptin and ertugliflozin,,A10BD24,
"metformin, saxagliptin and dapagliflozin",,A10BD25,
metformin and lobeglitazone,,A10BD26,
"metformin, linagliptin and empagliflozin",,A10BD27,
metformin and teneligliptin,,A10BD28,
sitagliptin and dapagliflozin,,A10BD29,
acarbose,,A10BF01,
miglitol,,A10BF02,
voglibose,,A10BF03,
troglitazone,,A10BG01,
rosiglitazone,,A10BG02,
pioglitazone,,A10BG03,
lobeglitazone,,A10BG04,
sitagliptin,,A10BH01,
vildagliptin,,A10BH02,
saxagliptin,,A10BH03,
alogliptin,,A10BH04,
linagliptin,,A10BH05,
gemigliptin,,A10BH06,
evogliptin,,A10BH07,
teneligliptin,,A10BH08,
sitagliptin and simvastatin,,A10BH51,
gemigliptin and rosuvastatin,,A10BH52,
exenatide,,A10BJ01,
liraglutide,,A10BJ02,
lixisenatide,,A10BJ03,
albiglutide,,A10BJ04,
dulaglutide,,A10BJ05,
semaglutide,,A10BJ06,
beinaglutide,,A10BJ07,
dapagliflozin,,A10BK01,
canagliflozin,,A10BK02,
empagliflozin,,A10BK03,
ertugliflozin,,A10BK04,
ipragliflozin,,A10BK05,
sotagliflozin,,A10BK06,
luseogliflozin,,A10BK07,
bexagliflozin,,A10BK08,
guar gum,,A10BX01,
repaglinide,,A10BX02,
nateglinide,,A10BX03,
pramlintide,,A10BX05,
benfluorex,,A10BX06,
mitiglinide,,A10BX08,
imeglimin,,A10BX15,
tirzepatide,,A10BX16,
carfloglitazar,,A10BX17,
dorzagliatin,,A10BX18,
tolrestat,,A10XA01,
teplizumab,,A10XX01,
multivitamins and iron,,A11AA01,
multivitamins and calcium,,A11AA02,
"multivitamins and other minerals, incl. combinations",,A11AA03,
multivitamins and trace elements,,A11AA04,
retinol (vit A),,A11CA01,
betacarotene,,A11CA02,D02BB01
ergocalciferol,,A11CC01,
dihydrotachysterol,,A11CC02,
alfacalcidol,,A11CC03,
calcitriol,,A11CC04,D05AX03
colecalciferol,,A11CC05,
calcifediol,,A11CC06,H05BX05
"colecalciferol, combinations",,A11CC55,
thiamine (vit B1),,A11DA01,
sulbutiamine,,A11DA02,
benfotiamine,,A11DA03,
ascorbic acid (vit C),,A11GA01,
ascorbic acid (vit C) and calcium,,A11GB01,
nicotinamide,,A11HA01,
pyridoxine (vit B6),,A11HA02,
tocopherol (vit E),,A11HA03,
riboflavin (vit B2),,A11HA04,
biotin,,A11HA05,
pyridoxal phosphate,,A11HA06,
inositol,,A11HA07,
tocofersolan,,A11HA08,
dexpanthenol,,A11HA30,D03AX03;S01XA12
calcium pantothenate,,A11HA31,D03AX04
pantethine,,A11HA32,
calcium phosphate,,A12AA01,
calcium glubionate,,A12AA02,
calcium gluconate,,A12AA03,B05XA19;D11AX03
calcium lactate,,A12AA05,
calcium lactate gluconate,,A12AA06,
calcium chloride,,A12AA07,B05XA07;G04BA03
calcium glycerylphosphate,,A12AA08,
calcium citrate lysine complex,,A12AA09,
calcium glucoheptonate,,A12AA10,
calcium pangamate,,A12AA11,
calcium citrate,,A12AA13,
calcium (different salts in combination),,A12AA20,
calcium laevulate,,A12AA30,
potassium chloride,,A12BA01,B05XA01
potassium citrate,,A12BA02,
potassium hydrogentartrate,,A12BA03,
potassium hydrogencarbonate,,A12BA04,
potassium gluconate,,A12BA05,
potassium (different salts in combination),,A12BA30,
"potassium chloride, combinations",,A12BA51,
sodium chloride,,A12CA01,B05CB01;B05XA03
zinc sulfate,,A12CB01,B05XA18
zinc gluconate,,A12CB02,
zinc protein complex,,A12CB03,
magnesium chloride,,A12CC01,B05XA11
magnesium gluconate,,A12CC03,
magnesium aspartate,,A12CC05,
magnesium lactate,,A12CC06,
magnesium levulinate,,A12CC07,
magnesium pidolate,,A12CC08,
magnesium orotate,,A12CC09,
magnesium (different salts in combination),,A12CC30,
"fluoride, combinations",,A12CD51,
sodium selenate,,A12CE01,
sodium selenite,,A12CE02,B05XA20
androstanolone,,A14AA01,G03BB02
stanozolol,,A14AA02,
metandienone,,A14AA03,D11AE01
metenolone,,A14AA04,
oxymetholone,,A14AA05,
quinbolone,,A14AA06,
prasterone,,A14AA07,G03XX01
oxandrolone,,A14AA08,
norethandrolone,,A14AA09,
nandrolone,,A14AB01,S01XA11
ethylestrenol,,A14AB02,
oxabolone cipionate,,A14AB03,
levocarnitine,,A16AA01,
ademetionine,,A16AA02,
glutamine,,A16AA03,
mercaptamine,,A16AA04,S01XA21
carglumic acid,,A16AA05,
betaine,,A16AA06,
metreleptin,,A16AA07,
alglucerase,,A16AB01,
imiglucerase,,A16AB02,
agalsidase alfa,,A16AB03,
agalsidase beta,,A16AB04,
laronidase,,A16AB05,
sacrosidase,,A16AB06,
alglucosidase alfa,,A16AB07,
galsulfase,,A16AB08,
idursulfase,,A16AB09,
velaglucerase alfa,,A16AB10,
taliglucerase alfa,,A16AB11,
elosulfase alfa,,A16AB12,
asfotase alfa,,A16AB13,
sebelipase alfa,,A16AB14,
velmanase alfa,,A16AB15,
idursulfase beta,,A16AB16,
cerliponase alfa,,A16AB17,
vestronidase alfa,,A16AB18,
pegvaliase,,A16AB19,
pegunigalsidase alfa,,A16AB20,
atidarsagene autotemcel,,A16AB21,
avalglucosidase alfa,,A16AB22,
cipaglucosidase alfa,,A16AB23,
pegzilarginase,,A16AB24,
olipudase alfa,,A16AB25,
eladocagene exuparvovec,,A16AB26,
pabinafusp alfa,,A16AB27,
thioctic acid,,A16AX01,
anethole trithione,,A16AX02,
sodium phenylbutyrate,,A16AX03,
nitisinone,,A16AX04,
zinc acetate,,A16AX05,
miglustat,,A16AX06,
sapropterin,,A16AX07,
teduglutide,,A16AX08,
glycerol phenylbutyrate,,A16AX09,
eliglustat,,A16AX10,
sodium benzoate,,A16AX11,
trientine,,A16AX12,
uridine triacetate,,A16AX13,
migalastat,,A16AX14,
telotristat,,A16AX15,
givosiran,,A16AX16,
triheptanoin,,A16AX17,
lumasiran,,A16AX18,
fosdenopterin,,A16AX19,
lonafarnib,,A16AX20,
elivaldogene autotemcel,,A16AX21,
tiomolibdic acid,,A16AX22,
leriglitazone,,A16AX23,
sodium benzoate and sodium phenylacetate,,A16AX30,
dicoumarol,,B01AA01,
phenindione,,B01AA02,
warfarin,,B01AA03,
phenprocoumon,,B01AA04,
acenocoumarol,,B01AA07,
ethyl biscoumacetate,,B01AA08,
clorindione,,B01AA09,
diphenadione,,B01AA10,
tioclomarol,,B01AA11,
fluindione,,B01AA12,
heparin,,B01AB01,C05BA03;S01XA14
antithrombin III,,B01AB02,
dalteparin,,B01AB04,
enoxaparin,,B01AB05,
nadroparin,,B01AB06,
parnaparin,,B01AB07,
reviparin,,B01AB08,
danaparoid,,B01AB09,
tinzaparin,,B01AB10,
sulodexide,,B01AB11,
bemiparin,,B01AB12,
"heparin, combinations",,B01AB51,C05BA53
ditazole,,B01AC01,
cloricromen,,B01AC02,
picotamide,,B01AC03,
clopidogrel,,B01AC04,
ticlopidine,,B01AC05,
dipyridamole,,B01AC07,
carbasalate calcium,,B01AC08,N02BA15
epoprostenol,,B01AC09,
indobufen,,B01AC10,
iloprost,,B01AC11,
abciximab,,B01AC13,
aloxiprin,,B01AC15,N02BA02
eptifibatide,,B01AC16,
tirofiban,,B01AC17,
triflusal,,B01AC18,
beraprost,,B01AC19,
treprostinil,,B01AC21,
prasugrel,,B01AC22,
cilostazol,,B01AC23,
ticagrelor,,B01AC24,
cangrelor,,B01AC25,
vorapaxar,,B01AC26,
selexipag,,B01AC27,
limaprost,,B01AC28,
"acetylsalicylic acid, combinations with proton pump inhibitors",,B01AC56,
streptokinase,,B01AD01,
alteplase,,B01AD02,S01XA13
anistreplase,,B01AD03,
urokinase,,B01AD04,
fibrinolysin,,B01AD05,
brinase,,B01AD06,
reteplase,,B01AD07,
saruplase,,B01AD08,
ancrod,,B01AD09,
drotrecogin alfa (activated),,B01AD10,
tenecteplase,,B01AD11,
protein C,,B01AD12,
apadamtase alfa and cinaxadamtase alfa,,B01AD13,
desirudin,,B01AE01,
lepirudin,,B01AE02,
argatroban,,B01AE03,
melagatran,,B01AE04,
ximelagatran,,B01AE05,
bivalirudin,,B01AE06,
dabigatran etexilate,,B01AE07,
rivaroxaban,,B01AF01,
apixaban,,B01AF02,
edoxaban,,B01AF03,
betrixaban,,B01AF04,
rivaroxaban and acetylsalicylic acid,,B01AF51,
defibrotide,,B01AX01,
dermatan sulfate,,B01AX04,
fondaparinux,,B01AX05,
caplacizumab,,B01AX07,
aminocaproic acid,,B02AA01,
tranexamic acid,,B02AA02,
aminomethylbenzoic acid,,B02AA03,
aprotinin,,B02AB01,
alfa1 antitrypsin,,B02AB02,
camostat,,B02AB04,
ulinastatin,,B02AB05,
phytomenadione,,B02BA01,
menadione,,B02BA02,
"fibrinogen, human",,B02BB01,
absorbable gelatin sponge,,B02BC01,
oxidized cellulose,,B02BC02,
tetragalacturonic acid hydroxymethylester,,B02BC03,
thrombin,,B02BC06,B02BD30
collagen,,B02BC07,G04BX11
calcium alginate,,B02BC08,
"coagulation factor IX, II, VII and X in combination",,B02BD01,
coagulation factor VIII,,B02BD02,
factor VIII inhibitor bypassing activity,,B02BD03,
coagulation factor IX,,B02BD04,
coagulation factor VII,,B02BD05,
von Willebrand factor and coagulation factor VIII in combination,,B02BD06,
coagulation factor XIII,,B02BD07,
coagulation factor VIIa,,B02BD08,
von Willebrand factor,,B02BD10,
catridecacog,,B02BD11,
coagulation factor X,,B02BD13,
susoctocog alfa,,B02BD14,
valoctocogene roxaparvovec,,B02BD15,
etranacogene dezaparvovec,,B02BD16,
etamsylate,,B02BX01,
carbazochrome,,B02BX02,
batroxobin,,B02BX03,
romiplostim,,B02BX04,
eltrombopag,,B02BX05,
emicizumab,,B02BX06,
lusutrombopag,,B02BX07,
avatrombopag,,B02BX08,
