section_id,section_name,group_id,group_name,field_id,field_label,field_type,options,description
psych_03,Mood Spectrum,mood_expansive,Expansive Mood States,psych_mood_irritable,Resonant (irritable) mood,checkbox,yes,"Predominantly irritable mood with easy anger and frequent agitation."

psych_03,Mood Spectrum,mood_depressive,Depressive Mood States,psych_mood_subdepressive,Subdepressive mood,checkbox,yes,"Mild and persistent sadness without meeting criteria for a full depressive syndrome."
psych_03,Mood Spectrum,mood_depressive,Depressive Mood States,psych_mood_depressive,Depressive mood,checkbox,yes,"Persistently low mood with reduced interest, motivation, and activity."
psych_03,Mood Spectrum,mood_depressive,Depressive Mood States,psych_mood_melancholic,Melancholic mood,checkbox,yes,"Deep depressive mood often with anhedonia, psychomotor changes, and possible psychotic features."
psych_03,Mood Spectrum,mood_depressive,Depressive Mood States,psych_mood_anhedonia,Anhedonia,checkbox,yes,"Marked reduction or loss of ability to experience pleasure."
psych_03,Mood Spectrum,mood_depressive,Depressive Mood States,psych_mood_apathy,Apathy,checkbox,yes,"Emotional indifference with reduced initiative and reduced responsiveness."

psych_03,Mood Spectrum,mood_other,Other Mood States,psych_mood_anxiety,Anxiety,checkbox,yes,"Persistent fear or apprehension often accompanied by physical tension and autonomic symptoms."
psych_03,Mood Spectrum,mood_other,Other Mood States,psych_mood_dysphoric,Dysphoric mood,checkbox,yes,"Unpleasant, irritable emotional tone often with inner tension."
psych_03,Mood Spectrum,mood_other,Other Mood States,psych_mood_delusional_mood,Delusional mood,checkbox,yes,"Vague, unsettling sense that something strange or threatening is happening, often preceding delusions."

psych_03,Mood Symptoms,core_questions,Depressive Spectrum Questions,psych_q_sad_low,"Do you feel sad, empty, or low in mood?",checkbox,yes,"Subjective report of low mood, sadness, emptiness, or emotional numbness."
psych_03,Mood Symptoms,core_questions,Depressive Spectrum Questions,psych_q_anhedonia,Loss of interest or pleasure (anhedonia)?,checkbox,yes,"Reduced enjoyment and decreased interest in previously pleasurable activities."
psych_03,Mood Symptoms,core_questions,Depressive Spectrum Questions,psych_q_bradypsychism_fatigue,Slowed down (bradypsychism) or fatigued?,checkbox,yes,"Subjective slowing of thinking/acting or persistent tiredness."
psych_03,Mood Symptoms,core_questions,Depressive Spectrum Questions,psych_q_appetite_weight,Appetite and weight changes?,checkbox,yes,"Changes in eating patterns and/or significant weight gain or loss."
psych_03,Mood Symptoms,core_questions,Depressive Spectrum Questions,psych_q_sleep,How is your sleep?,checkbox,yes,"Difficulties falling asleep, staying asleep, early waking, or sleeping excessively."
psych_03,Mood Symptoms,core_questions,Depressive Spectrum Questions,psych_q_guilt_hopeless,Guilt / worthlessness / hopelessness?,checkbox,yes,"Excessive guilt, negative self-evaluation, or hopeless outlook about the future."
psych_03,Mood Symptoms,core_questions,Depressive Spectrum Questions,psych_q_suicide,Thoughts of death or suicide?,checkbox,yes,"Presence of passive death wishes, suicidal ideation, or suicidal planning."

psych_03,Mood Symptoms,manic_questions,Manic Spectrum Questions,psych_q_elevated_irritable,Periods of elevated or irritable mood?,checkbox,yes,"Episodes of unusually high, expansive, or irritable mood."
psych_03,Mood Symptoms,manic_questions,Manic Spectrum Questions,psych_q_increased_energy,Increased energy or activity?,checkbox,yes,"Increased goal-directed activity, restlessness, or hyperactivity."
psych_03,Mood Symptoms,manic_questions,Manic Spectrum Questions,psych_q_decreased_sleep,Decreased need for sleep?,checkbox,yes,"Reduced sleep duration without feeling tired or impaired."
psych_03,Mood Symptoms,manic_questions,Manic Spectrum Questions,psych_q_tachypsychism_logorrhea,Rapid thoughts or speech (tachypsychism/logorrhoea)?,checkbox,yes,"Racing thoughts or pressured/rapid speech that is hard to interrupt."
psych_03,Mood Symptoms,manic_questions,Manic Spectrum Questions,psych_q_risky_behaviour,Risky behaviour (spending/sexual/impulsive)?,checkbox,yes,"Engagement in risky actions such as overspending, unsafe sex, reckless driving, or impulsive decisions."

psych_03,Mood Symptoms,anxiety_questions,Anxiety Symptoms Questions,psych_q_worried_on_edge,"Worried, tense, or on edge?",checkbox,yes,"Persistent worry, tension, or hypervigilance with difficulty relaxing."
psych_03,Mood Symptoms,anxiety_questions,Anxiety Symptoms Questions,psych_q_panic,Panic attacks? Physical symptoms?,checkbox,yes,"Sudden episodes of intense fear with palpitations, sweating, shortness of breath, or trembling."
psych_03,Mood Symptoms,anxiety_questions,Anxiety Symptoms Questions,psych_q_phobias,Specific fears (phobias)?,checkbox,yes,"Marked fear of specific objects/situations leading to avoidance."

psych_03,Affective Abnormalities,affect,Abnormalities of Affect,psych_aff_lability,Emotional lability,checkbox,yes,"Rapid shifts in emotional tone triggered by minimal stimuli."
psych_03,Affective Abnormalities,affect,Abnormalities of Affect,psych_aff_incontinence,Emotional incontinence,checkbox,yes,"Inability to control emotional expression (crying/laughing) disproportionate to context."
psych_03,Affective Abnormalities,affect,Abnormalities of Affect,psych_aff_blunted_flat,Blunted/flat affect,checkbox,yes,"Marked reduction or near absence of visible emotional expression."
psych_03,Affective Abnormalities,affect,Abnormalities of Affect,psych_aff_inappropriate,Inappropriate affect,checkbox,yes,"Emotional expression incongruent with the situation or content."
psych_03,Affective Abnormalities,affect,Abnormalities of Affect,psych_aff_ambivalence,Ambivalence,checkbox,yes,"Simultaneous contradictory emotions toward the same person/object/situation."

psych_04,Thought Disorders,thought_dynamics,Dynamics (Speed),psych_tachypsychism,Tachypsychism,checkbox,yes,"Accelerated thinking with rapid flow of ideas."
psych_04,Thought Disorders,thought_dynamics,Dynamics (Speed),psych_logorrhea,Logorrhea,checkbox,yes,"Excessive, pressured verbal output that is difficult to interrupt."
psych_04,Thought Disorders,thought_dynamics,Dynamics (Speed),psych_pseudoincoherence,Pseudoincoherence,checkbox,yes,"Apparent confusion caused by overly rapid thinking rather than true disorganization."
psych_04,Thought Disorders,thought_dynamics,Dynamics (Speed),psych_bradypsychism,Bradypsychism,checkbox,yes,"Pathologically slowed thought processes with delayed responses."
psych_04,Thought Disorders,thought_dynamics,Dynamics (Speed),psych_pseudoblocking,Pseudoblocking,checkbox,yes,"Subjective sense that thoughts get “stuck” without complete cessation."
psych_04,Thought Disorders,thought_dynamics,Dynamics (Speed),psych_blocking,Blocking,checkbox,yes,"Sudden interruption of thought flow, often seen in psychotic disorders."
psych_04,Thought Disorders,thought_dynamics,Dynamics (Speed),psych_selective_mutism,Aphrasia voluntaria / selective mutism,checkbox,yes,"Intentional or situational refusal to speak despite ability."

psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_loose_associations,Loose associations,checkbox,yes,"Ideas shift with minimal or illogical connections."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_derailment,Derailment,checkbox,yes,"Abrupt transition from one topic to unrelated topics."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_tangential,Tangential thinking,checkbox,yes,"Answers deviate from the topic and never reach the point."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_incoherence_word_salad,Incoherence (word salad),checkbox,yes,"Speech lacks logical structure and is largely incomprehensible."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_perseveration,Perseveration,checkbox,yes,"Pathological repetition of the same response or idea."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_verbigeration,Verbigeration,checkbox,yes,"Stereotyped meaningless repetition of words or phrases."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_neologisms,Neologisms (agglutination/condensation),checkbox,yes,"Creation of new words or fusion of concepts, often idiosyncratic."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_symbolic_thinking,Symbolic thinking,checkbox,yes,"Pathological symbolic meaning attributed to neutral stimuli beyond cultural norms."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_magical_thinking,Magical thinking,checkbox,yes,"Belief that thoughts, words, or rituals can directly influence reality."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_autistic_dereistic,Autistic/dereistic thinking,checkbox,yes,"Withdrawal into fantasy with reduced reality testing and correction."
psych_04,Thought Disorders,thought_structure,Structure & Flow,psych_paralogic,Paralogic thinking,checkbox,yes,"Seemingly logical reasoning that ends in nonsensical conclusions."

psych_04,Thought Disorders,formal_questions,Formal Thought Questions,psych_q_racing_slow,Do you feel your thoughts are racing or going too slowly?,checkbox,yes,"Subjective experience of accelerated or slowed thinking."
psych_04,Thought Disorders,formal_questions,Formal Thought Questions,psych_q_train_blocking,Do you lose your train of thought (blocking)?,checkbox,yes,"Sudden inability to continue a thought mid-sentence."
psych_04,Thought Disorders,formal_questions,Formal Thought Questions,psych_q_organize,Do you find it difficult to organize your thoughts?,checkbox,yes,"Subjective disorganization or difficulty structuring ideas."
psych_04,Thought Disorders,formal_questions,Formal Thought Questions,psych_q_loose_tangential,Do thoughts jump ideas (loose associations/tangentiality)?,checkbox,yes,"Report of frequent topic shifts and difficulty staying on track."
psych_04,Thought Disorders,formal_questions,Formal Thought Questions,psych_q_perseveration,Repeat words/ideas unintentionally (perseveration/verbigeration)?,checkbox,yes,"Unintentional repetition of the same words, phrases, or ideas."

psych_04,Thought Content,delusions_depressive,Depressive Delusions,psych_del_guilt,Guilt delusion,checkbox,yes,"Fixed false belief of severe wrongdoing or responsibility for harm."
psych_04,Thought Content,delusions_depressive,Depressive Delusions,psych_del_hypochondriacal,Hypochondriacal delusion,checkbox,yes,"Conviction of serious disease despite lack of evidence."
psych_04,Thought Content,delusions_depressive,Depressive Delusions,psych_del_micromanic,Micromanic delusion,checkbox,yes,"Fixed belief of worthlessness, inadequacy, or being “small/insignificant.”"
psych_04,Thought Content,delusions_depressive,Depressive Delusions,psych_del_poverty_ruin,Poverty/ruin delusion,checkbox,yes,"Belief of financial catastrophe despite objective stability."
psych_04,Thought Content,delusions_depressive,Depressive Delusions,psych_del_nihilistic,Nihilistic delusion,checkbox,yes,"Belief that self, body, others, or the world no longer exist."
psych_04,Thought Content,delusions_depressive,Depressive Delusions,psych_del_enormity,Enormity delusion,checkbox,yes,"Belief that bodily functions or minor actions cause major catastrophes."
psych_04,Thought Content,delusions_depressive,Depressive Delusions,psych_del_eternal_punishment,Eternal punishment delusion,checkbox,yes,"Belief of endless punishment or damnation."

psych_04,Thought Content,delusions_expansive,Expansive Delusions,psych_del_erotomanic,Erotomanic delusion,checkbox,yes,"Fixed belief that someone (often higher status) is in love with the patient."
psych_04,Thought Content,delusions_expansive,Expansive Delusions,psych_del_grandiose,Megalomaniac (grandeur) delusion,checkbox,yes,"Belief of exceptional identity, power, or mission."
psych_04,Thought Content,delusions_expansive,Expansive Delusions,psych_del_extrapotency,Extrapotency delusion,checkbox,yes,"Belief of supernatural abilities or extraordinary powers."
psych_04,Thought Content,delusions_expansive,Expansive Delusions,psych_del_origin,Delusion of origin,checkbox,yes,"Belief of noble, special, or non-biological ancestry."
psych_04,Thought Content,delusions_expansive,Expansive Delusions,psych_del_religious,Religious delusion,checkbox,yes,"Delusional religious beliefs beyond cultural context (divine election/mission)."
psych_04,Thought Content,delusions_expansive,Expansive Delusions,psych_del_invention,Inventory/invention delusion,checkbox,yes,"Belief of creating world-changing inventions without basis."

psych_04,Thought Content,delusions_paranoid,Paranoid Delusions,psych_del_persecutory,Persecutory delusion,checkbox,yes,"Belief of being targeted, harmed, spied on, or conspired against."
psych_04,Thought Content,delusions_paranoid,Paranoid Delusions,psych_del_querulant,Querulant delusion,checkbox,yes,"Delusional-driven litigiousness and fixation on perceived injustice."
psych_04,Thought Content,delusions_paranoid,Paranoid Delusions,psych_del_jealousy,Jealousy delusion,checkbox,yes,"Fixed belief of partner infidelity without evidence."

psych_04,Thought Content,schneider,Schneider First-Rank Symptoms,psych_fr_thought_insertion,Thought insertion,checkbox,yes,"Belief that external forces place thoughts into one’s mind."
psych_04,Thought Content,schneider,Schneider First-Rank Symptoms,psych_fr_thought_withdrawal,Thought withdrawal,checkbox,yes,"Belief that thoughts are removed or stolen."
psych_04,Thought Content,schneider,Schneider First-Rank Symptoms,psych_fr_thought_broadcast,Thought broadcasting,checkbox,yes,"Belief that others can access or hear one’s thoughts."
psych_04,Thought Content,schneider,Schneider First-Rank Symptoms,psych_fr_audible_thoughts,Audible thoughts,checkbox,yes,"Hearing one’s thoughts spoken aloud."
psych_04,Thought Content,schneider,Schneider First-Rank Symptoms,psych_fr_control,Delusions of control,checkbox,yes,"Belief that actions or body are controlled by external forces."

psych_04,Thought Content,other_content,Other Content Abnormalities,psych_obsessions,Obsessions,checkbox,yes,"Intrusive, unwanted repetitive thoughts causing distress."
psych_04,Thought Content,other_content,Other Content Abnormalities,psych_compulsions,Compulsions,checkbox,yes,"Repetitive acts performed to reduce anxiety from obsessions."
psych_04,Thought Content,other_content,Other Content Abnormalities,psych_overvalued_ideas,Overvalued ideas,checkbox,yes,"Strong, dominating beliefs short of delusional intensity."

psych_04,Thought Content,content_questions,Questions,psych_q_persecutory,Someone trying to harm/watch/control you?,checkbox,yes,"Screening for persecutory ideas and external control beliefs."
psych_04,Thought Content,content_questions,Questions,psych_q_grandeur,Unusually strong beliefs about yourself (grandeur)?,checkbox,yes,"Screening for grandiose ideas and inflated self-importance."
psych_04,Thought Content,content_questions,Questions,psych_q_guilt_nihilistic,Responsible for terrible things (guilt/nihilistic)?,checkbox,yes,"Screening for depressive delusions such as guilt/nihilism."
psych_04,Thought Content,content_questions,Questions,psych_q_jealousy,Partner unfaithful without evidence?,checkbox,yes,"Screening for pathological jealousy beliefs."
psych_04,Thought Content,content_questions,Questions,psych_q_schneider,Thought inserted/taken/broadcast/read by others?,checkbox,yes,"Screening for first-rank psychotic experiences."
psych_04,Thought Content,ocd_questions,OCD Questions,psych_q_intrusive,Intrusive thoughts repeat?,checkbox,yes,"Screening for obsessions."
psych_04,Thought Content,ocd_questions,OCD Questions,psych_q_rituals,Rituals to reduce anxiety?,checkbox,yes,"Screening for compulsions."

psych_05,Perception Disturbances,illusions,Illusions,psych_illusion,Illusions present,checkbox,yes,"Misinterpretation of a real external stimulus (real input, wrong meaning)."
psych_05,Perception Disturbances,illusions,Illusions,psych_q_illusion,Do you misinterpret real objects (shadows/sounds)?,checkbox,yes,"Screening question for illusions under stress, anxiety, or intoxication."

psych_05,Perception Disturbances,hallucinations_modality,Hallucinations by Modality,psych_hall_auditory,Auditory hallucinations,checkbox,yes,"Hearing voices or sounds without an external stimulus."
psych_05,Perception Disturbances,hallucinations_modality,Hallucinations by Modality,psych_hall_visual,Visual hallucinations,checkbox,yes,"Seeing images, figures, or scenes not actually present."
psych_05,Perception Disturbances,hallucinations_modality,Hallucinations by Modality,psych_hall_zooptic,Zooptic/microzooptic hallucinations,checkbox,yes,"Seeing animals or small creatures, often in delirium/withdrawal."
psych_05,Perception Disturbances,hallucinations_modality,Hallucinations by Modality,psych_hall_olfactory,Olfactory hallucinations,checkbox,yes,"Smelling odors without any source."
psych_05,Perception Disturbances,hallucinations_modality,Hallucinations by Modality,psych_hall_gustatory,Gustatory hallucinations,checkbox,yes,"Tasting flavors that are not present."
psych_05,Perception Disturbances,hallucinations_modality,Hallucinations by Modality,psych_hall_tactile,Tactile hallucinations,checkbox,yes,"Feeling touch or movement on/in the skin without cause."
psych_05,Perception Disturbances,hallucinations_modality,Hallucinations by Modality,psych_hall_cenesthetic,Cenesthetic hallucinations,checkbox,yes,"Strange internal bodily sensations experienced as abnormal or alien."

psych_05,Perception Disturbances,hallucinations_special,Special Forms,psych_hall_combined,Combined hallucinations,checkbox,yes,"Hallucinations occurring in multiple sensory modalities simultaneously."
psych_05,Perception Disturbances,hallucinations_special,Special Forms,psych_hall_intrapsychic,Intrapsychic hallucinations,checkbox,yes,"Thoughts experienced as voices or externally generated experiences."
psych_05,Perception Disturbances,hallucinations_special,Special Forms,psych_hall_inadequate,Inadequate hallucinations,checkbox,yes,"Hallucinations perceived through an “incorrect” sensory channel (e.g., hearing colors)."

psych_05,Perception Disturbances,questions,Hallucination Questions,psych_q_voices,Do you hear voices when nobody is around?,checkbox,yes,"Screening for auditory hallucinations."
psych_05,Perception Disturbances,questions,Hallucination Questions,psych_q_voices_content,What do they say?,textarea,,
psych_05,Perception Disturbances,questions,Hallucination Questions,psych_q_visual,Do you see things others cannot see?,checkbox,yes,"Screening for visual hallucinations."
psych_05,Perception Disturbances,questions,Hallucination Questions,psych_q_olf_taste_touch,Unusual smell/taste/touch sensations?,checkbox,yes,"Screening for non-auditory hallucinations."
psych_05,Perception Disturbances,questions,Hallucination Questions,psych_q_voice_type,Voices speak about/to/command you?,select,"about|to|command|mixed|unclear",

psych_05,Perception Disturbances,psychosensory,Psychosensory Distortions,psych_micropsia,Micropsia,checkbox,yes,"Objects appear smaller than they are."
psych_05,Perception Disturbances,psychosensory,Psychosensory Distortions,psych_macropsia,Macropsia,checkbox,yes,"Objects appear larger than they are."
psych_05,Perception Disturbances,psychosensory,Psychosensory Distortions,psych_polyopsia,Polyopsia,checkbox,yes,"Objects appear multiplied."
psych_05,Perception Disturbances,psychosensory,Psychosensory Distortions,psych_depersonalization,Depersonalization,checkbox,yes,"Feeling unreal or detached from oneself."
psych_05,Perception Disturbances,psychosensory,Psychosensory Distortions,psych_derealization,Derealization,checkbox,yes,"Surroundings feel strange, unreal, or dreamlike."
psych_05,Perception Disturbances,questions,Psychosensory Questions,psych_q_micro_macro,Objects look larger/smaller (macropsia/micropsia)?,checkbox,yes,"Screening for visual distortions (macropsia/micropsia)."
psych_05,Perception Disturbances,questions,Psychosensory Questions,psych_q_polyopsia,Objects multiply (polyopsia)?,checkbox,yes,"Screening for polyopsia."
psych_05,Perception Disturbances,questions,Psychosensory Questions,psych_q_derealization,Detached from surroundings (derealization)?,checkbox,yes,"Screening for derealization experiences."

psych_06,Cognitive Disturbances,memory,Memory Disturbances,psych_hypomnesia,Hypomnesia,checkbox,yes,"Reduced ability to recall information, especially new memories."
psych_06,Cognitive Disturbances,memory,Memory Disturbances,psych_amnesia,Amnesia,checkbox,yes,"Partial or complete loss of memory for events or periods."
psych_06,Cognitive Disturbances,memory,Memory Disturbances,psych_hypermnesia,Hypermnesia,checkbox,yes,"Abnormally vivid or excessive memory recall."
psych_06,Cognitive Disturbances,memory,Memory Disturbances,psych_paramnesia,Paramnesia,checkbox,yes,"Memory distortions with false recognition or altered recall."
psych_06,Cognitive Disturbances,memory,Memory Disturbances,psych_dejavu_jamaisvu,DÃ©jÃ  vu / jamais vu,checkbox,yes,"False familiarity or false unfamiliarity in recognition."
psych_06,Cognitive Disturbances,memory,Memory Disturbances,psych_confabulation,Confabulation,checkbox,yes,"Filling memory gaps with invented but believed details."
psych_06,Cognitive Disturbances,memory,Memory Disturbances,psych_pseudologia,Pseudologia phantastica,checkbox,yes,"Persistent elaborate lying often mixed with partial belief."
psych_06,Cognitive Disturbances,questions,Memory Questions,psych_q_forget,Problems with forgetting recent/past events?,checkbox,yes,"Screening for memory impairment affecting daily life."
psych_06,Cognitive Disturbances,questions,Memory Questions,psych_q_memory_gaps,Memory gaps (amnesia/confabulation)?,checkbox,yes,"Screening for amnesia/confabulation phenomena."

psych_06,Cognitive Disturbances,attention,Attention Disturbances,psych_hypoprosexia,Hypoprosexia,checkbox,yes,"Reduced attention span and concentration."
psych_06,Cognitive Disturbances,attention,Attention Disturbances,psych_aprosexia,Aprosexia,checkbox,yes,"Near inability to focus attention."
psych_06,Cognitive Disturbances,attention,Attention Disturbances,psych_hyperprosexia,Hyperprosexia,checkbox,yes,"Excessive fixation of attention on a single stimulus."
psych_06,Cognitive Disturbances,questions,Attention Questions,psych_q_focus,Difficulty focusing or maintaining attention?,checkbox,yes,"Screening for reduced concentration and sustained attention."
psych_06,Cognitive Disturbances,questions,Attention Questions,psych_q_distracted,Easily distracted?,checkbox,yes,"Screening for distractibility."

psych_06,Cognitive Disturbances,orientation,Orientation,psych_orient_time,Orientation to time impaired,checkbox,yes,"Difficulty identifying date/time/day or temporal context."
psych_06,Cognitive Disturbances,orientation,Orientation,psych_orient_place,Orientation to place impaired,checkbox,yes,"Difficulty identifying current location."
psych_06,Cognitive Disturbances,orientation,Orientation,psych_orient_situation,Orientation to situation impaired,checkbox,yes,"Difficulty understanding what is happening and why."
psych_06,Cognitive Disturbances,questions,Orientation Questions,psych_q_day,Do you know what day it is?,checkbox,yes,"Quick screen for temporal orientation."
psych_06,Cognitive Disturbances,questions,Orientation Questions,psych_q_where,Where are you now?,checkbox,yes,"Quick screen for spatial orientation."
psych_06,Cognitive Disturbances,questions,Orientation Questions,psych_q_what_happening,What is happening around you?,checkbox,yes,"Screen for situational orientation and comprehension."

psych_06,Cognitive Disturbances,intelligence,Intelligence/Cognition,psych_intellectual_disability,Mental retardation (intellectual disability),checkbox,yes,"Developmental global intellectual deficit with adaptive impairment."
psych_06,Cognitive Disturbances,intelligence,Intelligence/Cognition,psych_borderline_intelligence,Borderline intelligence,checkbox,yes,"Cognitive functioning just below average with limited reserve."
psych_06,Cognitive Disturbances,intelligence,Intelligence/Cognition,psych_dementia,Dementia,checkbox,yes,"Progressive decline in memory and cognition with functional impairment."
psych_06,Cognitive Disturbances,intelligence,Intelligence/Cognition,psych_organic_psychosyndrome,Organic psychosyndrome,checkbox,yes,"Mild cognitive decline due to organic brain causes."

psych_06,Cognitive Disturbances,consciousness,Consciousness States,psych_somnolence,Somnolence,checkbox,yes,"Drowsy state with reduced alertness but arousable."
psych_06,Cognitive Disturbances,consciousness,Consciousness States,psych_sopor,Sopor,checkbox,yes,"Deep sleep-like state with minimal response to strong stimuli."
psych_06,Cognitive Disturbances,consciousness,Consciousness States,psych_coma,Coma,checkbox,yes,"Unarousable unconsciousness with no meaningful response to stimuli."
psych_06,Cognitive Disturbances,consciousness,Consciousness States,psych_amentia,Amentia,checkbox,yes,"Acute confusion with disorganized thinking and impaired comprehension."
psych_06,Cognitive Disturbances,consciousness,Consciousness States,psych_delirium,Delirium,checkbox,yes,"Acute fluctuating confusion with impaired attention, often with hallucinations and autonomic features."
psych_06,Cognitive Disturbances,consciousness,Consciousness States,psych_obnubilation,Obnubilation,checkbox,yes,"Twilight state with altered awareness and subsequent amnesia."
psych_06,Cognitive Disturbances,questions,Consciousness Questions,psych_q_confusion_lost_time,Confusion/lost time/sudden unawareness?,checkbox,yes,"Screening for transient altered awareness or dissociative/organic episodes."

psych_07,Emotions,affect_regulation,Disturbances of Emotions,psych_emotion_lability,Emotions change rapidly (lability)?,checkbox,yes,"Subjective report of rapid emotional shifts with poor stability."
psych_07,Emotions,affect_regulation,Disturbances of Emotions,psych_emotion_flat,Emotionally flat or blunted?,checkbox,yes,"Subjective reduced emotional experience or expression."
psych_07,Emotions,affect_regulation,Disturbances of Emotions,psych_emotion_ambivalent,Ambivalent emotions?,checkbox,yes,"Conflicting emotions toward the same situation/person."
psych_07,Emotions,affect_regulation,Disturbances of Emotions,psych_emotion_incontinence,Emotions out of control (emotional incontinence)?,checkbox,yes,"Episodes of uncontrolled crying/laughing disproportionate to context."

psych_08,Will & Action,will,Will Disturbances,psych_hypobulia,Hypobulia,checkbox,yes,"Reduced motivation and initiative to act."
psych_08,Will & Action,will,Will Disturbances,psych_abulia,Abulia,checkbox,yes,"Near complete lack of initiative and inability to start actions."
psych_08,Will & Action,will,Will Disturbances,psych_hyperbulia,Hyperbulia,checkbox,yes,"Excessive drive toward activity and goal-directed behavior."

psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_impulsive_reactions,Impulsive reactions,checkbox,yes,"Actions performed suddenly without reflection or planning."
psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_dromomania,Dromomania,checkbox,yes,"Compulsive wandering or traveling without clear purpose."
psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_dipsomania,Dipsomania,checkbox,yes,"Episodic uncontrollable alcohol consumption with binge pattern."
psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_kleptomania,Kleptomania,checkbox,yes,"Recurrent impulse to steal objects not needed for personal use."
psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_pyromania,Pyromania,checkbox,yes,"Recurrent impulse to set fires with tension relief/pleasure."
psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_hypersexual,Ergotomania/nymphomania (hypersexuality),checkbox,yes,"Pathological increase in sexual drive and behavior."
psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_short_circuit,Short-circuit reaction,checkbox,yes,"Sudden action with minimal deliberation, sometimes linked to acute self-harm or violence."
psych_08,Will & Action,rudimentary,Rudimentary Acting Disturbances,psych_compulsions_action,Compulsions (ritualized behaviors),checkbox,yes,"Ritualized behaviors performed to reduce anxiety."

psych_08,Will & Action,global,Global Acting Disturbances,psych_hypoactivity,Hypoactivity,checkbox,yes,"General reduction in motor and mental activity."
psych_08,Will & Action,global,Global Acting Disturbances,psych_hyperactivity,Hyperactivity,checkbox,yes,"Excessive motor activity and restlessness."
psych_08,Will & Action,global,Global Acting Disturbances,psych_stupor,Stupor,checkbox,yes,"Extreme immobility with minimal responsiveness to environment."
psych_08,Will & Action,global,Global Acting Disturbances,psych_raptus,Raptus,checkbox,yes,"Sudden intense motor agitation with risk of impulsive acts."
