muscle_region_en,muscle_region_sk,muscle_region_ge,muscle_category_en,muscle_category_sk,muscle_category_ge,latin_muscle_name,english_muscle_name,muscle_part,innervation,blood_supply,origo,insercio,movement_function
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Muscles of mastication,Žuvacie svaly,Kaumuskeln,Musculus temporalis,Temporalis muscle,,Deep temporal nerves from mandibular nerve (CN V3),Deep temporal arteries (branches of maxillary artery),Temporal fossa and temporal fascia,Coronoid process and anterior border of mandibular ramus,Elevates and retracts the mandible
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Muscles of mastication,Žuvacie svaly,Kaumuskeln,Musculus pterygoideus medialis,Medial pterygoid muscle,"Caput profundum,Caput superficiale",Medial pterygoid nerve from mandibular nerve (CN V3),Pterygoid branches of maxillary artery,Medial surface of lateral pterygoid plate; maxillary tuberosity,Medial surface of mandibular angle,Elevates and protrudes the mandible; assists in side-to-side movements
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Muscles of mastication,Žuvacie svaly,Kaumuskeln,Musculus pterygoideus lateralis,Lateral pterygoid muscle,"Caput superius,Caput inferius",Lateral pterygoid nerve from mandibular nerve (CN V3),Pterygoid branches of maxillary artery,Infratemporal surface and crest of greater wing of sphenoid; lateral surface of lateral pterygoid plate,Pterygoid fovea on neck of mandible; articular disc and capsule of temporomandibular joint,Protrudes mandible; depresses chin; side-to-side movement
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Muscles of mastication,Žuvacie svaly,Kaumuskeln,Musculus pterygoideus lateralis,Lateral pterygoid muscle,,Lateral pterygoid nerve from mandibular nerve (CN V3),Pterygoid branches of maxillary artery,Infratemporal surface and crest of greater wing of sphenoid; lateral surface of lateral pterygoid plate,Pterygoid fovea on neck of mandible; articular disc and capsule of temporomandibular joint,Protrudes mandible; depresses chin; side-to-side movement
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus auricularis anterior,Anterior auricular muscle,,Temporal branch of facial nerve (CN VII),Auricular branches of posterior auricular and superficial temporal arteries,Temporal fascia,Helix of the ear,Draws ear upward and forward
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus auricularis superior,Superior auricular muscle,,Temporal branch of facial nerve (CN VII),Auricular branches of posterior auricular and superficial temporal arteries,Galea aponeurotica,Upper part of auricle,Elevates the ear
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus auricularis posterior,Posterior auricular muscle,,Posterior auricular nerve (branch of CN VII),Auricular branches of posterior auricular artery,Mastoid process,Posterior part of auricle,Draws ear backward
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus helicis major,Major helicis muscle,,Facial nerve (CN VII),Posterior auricular artery,Auricular cartilage of helix,Auricular cartilage of helix,Minor shaping of the auricle
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus helicis minor,Minor helicis muscle,,Facial nerve (CN VII),Posterior auricular artery,Auricular cartilage of helix,Auricular cartilage of helix,Minor shaping of the auricle
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus tragicus,Tragicus muscle,,Facial nerve (CN VII),Posterior auricular artery,Auricular cartilage of tragus,Auricular cartilage of tragus,Assists in narrowing of the external acoustic meatus
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus antitragicus,Antitragicus muscle,,Facial nerve (CN VII),Posterior auricular artery,Auricular cartilage of antitragus,Auricular cartilage of antitragus,Assists in shaping and stabilization of the auricle
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus transversus auriculae,Transverse auricular muscle,,Facial nerve (CN VII),Posterior auricular artery,Posterior surface of auricular cartilage,Posterior surface of auricular cartilage,Draws parts of the auricle together
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus obliquus auriculae,Oblique auricular muscle,,Facial nerve (CN VII),Posterior auricular artery,Posterior surface of auricular cartilage,Posterior surface of auricular cartilage,Minor adjustment of auricular shape
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus corrugator supercilii,Corrugator supercilii muscle,,Temporal branch of facial nerve (CN VII),Supratrochlear and supraorbital arteries,Medial end of superciliary arch,Skin of eyebrow,Draws eyebrows medially and downward
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus procerus,Procerus muscle,,Temporal branch of facial nerve (CN VII),Facial artery,Nasal bone and lateral nasal cartilage,Skin of glabella,Wrinkles skin over the bridge of nose
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus nasalis,Nasalis muscle,"Pars transversa, Pars alaris",Facial nerve (CN VII),Facial artery; lateral nasal artery,Maxilla lateral to nasal aperture,Nasal cartilage,Compresses or dilates nostrils
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus depressor septi nasi,Depressor septi nasi muscle,,Facial nerve (CN VII),Superior labial artery,Incisive fossa of maxilla,Nasal septum and alar cartilage,Depresses nasal septum and assists in opening nostrils
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus orbicularis oculi,Orbicularis oculi muscle,"Pars palpebralis,Pars orbitalis",Temporal and zygomatic branches of facial nerve (CN VII),"Facial, superficial temporal, ophthalmic arteries","Medial orbital margin, lacrimal bone","Skin around the orbit, tarsal plate",Closes the eyelids
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus levator labii superioris,Levator labii superioris muscle,,Facial nerve (CN VII),Facial artery; infraorbital artery,Infraorbital margin of maxilla,Skin of upper lip,Elevates upper lip
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus levator labii superioris alaeque nasi,Levator labii superioris alaeque nasi muscle,,Facial nerve (CN VII),Facial artery; angular artery,Frontal process of maxilla,Upper lip and nasal ala,Elevates upper lip and dilates nostril
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus zygomaticus minor,Zygomaticus minor muscle,,Facial nerve (CN VII),Facial artery,Zygomatic bone,Upper lip,Elevates upper lip
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus zygomaticus major,Zygomaticus major muscle,,Facial nerve (CN VII),Facial artery,Zygomatic bone,Angle of mouth,Draws angle of mouth superolaterally (smiling)
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus levator anguli oris,Levator anguli oris muscle,,Facial nerve (CN VII),Facial artery,Canine fossa of maxilla,Angle of mouth,Elevates angle of mouth
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus risorius,Risorius muscle,,Facial nerve (CN VII),Facial artery; transverse facial artery,Parotid fascia and masseteric fascia,Angle of mouth,Retracts angle of mouth laterally
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus buccinator,Buccinator muscle,,Facial nerve (CN VII),Buccal artery; facial artery,Alveolar processes of maxilla and mandible; pterygomandibular raphe,Angle of mouth and orbicularis oris,Presses cheek against teeth
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus orbicularis oris,Orbicularis oris muscle,,Facial nerve (CN VII),Superior and inferior labial arteries,Medial maxilla and mandible; modiolus,Skin of lips,Closes and protrudes lips
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus depressor anguli oris,Depressor anguli oris muscle,,Facial nerve (CN VII),Facial artery,Base of mandible,Angle of mouth,Depresses angle of mouth
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus depressor labii inferioris,Depressor labii inferioris muscle,,Facial nerve (CN VII),Inferior labial artery,Mandible below mental foramen,Lower lip,Depresses lower lip
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus mentalis,Mentalis muscle,,Facial nerve (CN VII),Inferior labial artery,Incisive fossa of mandible,Skin of chin,Elevates and protrudes lower lip
Middle Ear Muscles,Svaly stredného ucha,Mittelohrmuskeln,Auditory muscles,Svaly sluchového aparátu,Mittelohrmuskeln,Musculus stapedius,Stapedius muscle,,Facial nerve (CN VII),Posterior auricular artery,Prominence of facial canal,Neck of stapes,Dampens stapes vibrations
Middle Ear Muscles,Svaly stredného ucha,Mittelohrmuskeln,Auditory muscles,Svaly sluchového aparátu,Mittelohrmuskeln,Musculus tensor tympani,Tensor tympani muscle,,Mandibular nerve (V3),Maxillary artery,Cartilaginous part of auditory tube,Handle of malleus,Tenses tympanic membrane
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus genioglossus,Genioglossus muscle,,Hypoglossal nerve (CN XII),Lingual artery,Mental spine of mandible,Entire length of tongue and body of hyoid bone,Protrudes and depresses tongue
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus hyoglossus,Hyoglossus muscle,,Hypoglossal nerve (CN XII),Lingual artery,Body and greater horn of hyoid bone,Side of tongue,Depresses and retracts tongue
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus styloglossus,Styloglossus muscle,,Hypoglossal nerve (CN XII),Lingual artery,Styloid process of temporal bone,Side of tongue,Retracts and elevates tongue
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus longitudinalis superior linguae,Superior longitudinal muscle of tongue,,Hypoglossal nerve (CN XII),Lingual artery,Submucosa of tongue root and fibrous septum,Margins and apex of tongue,Shortens tongue and curls apex upward
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus longitudinalis inferior linguae,Inferior longitudinal muscle of tongue,,Hypoglossal nerve (CN XII),Lingual artery,Root of tongue,Apex of tongue,Shortens tongue and curls apex downward
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus transversus linguae,Transverse muscle of tongue,,Hypoglossal nerve (CN XII),Lingual artery,Median fibrous septum,Side margins of tongue,Narrows and elongates tongue
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus verticalis linguae,Vertical muscle of tongue,,Hypoglossal nerve (CN XII),Lingual artery,Dorsal surface of tongue,Inferior surface of tongue,Flattens and broadens tongue
Muscles of the Neck,Svaly krku,Nackenmuskeln,Superficial neck muscles,Povrchové svaly krku,Oberflächliche Halsmuskeln,Platysma,Platysma muscle,,Facial nerve (CN VII),Submental and supraclavicular branches of facial artery,Fascia over pectoralis major and deltoid,Lower border of mandible and skin of lower face,Tenses skin of neck and depresses mandible
Muscles of the Neck,Svaly krku,Nackenmuskeln,Deep anterior cervical muscles,Hlboké predné svaly krku,Tiefe vordere Halsmuskeln,Musculus longus colli,Longus colli muscle,,Cervical spinal nerves (C2-C6),Vertebral artery and ascending cervical artery,Bodies and transverse processes of C3-T3 vertebrae,Bodies and transverse processes of C1-C6 vertebrae,Flexes and stabilizes cervical spine
Muscles of the Neck,Svaly krku,Nackenmuskeln,Deep anterior cervical muscles,Hlboké predné svaly krku,Tiefe vordere Halsmuskeln,Musculus longus capitis,Longus capitis muscle,,Cervical spinal nerves (C1-C3),Ascending pharyngeal artery,Transverse processes of C3-C6 vertebrae,Basilar part of occipital bone,Flexes head and upper cervical spine
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suboccipital / prevertebral muscles,Subokcipitálne / prevertebrálne svaly,Subokzipitale / prävertebrale Muskeln,Musculus rectus anterior capitis,Rectus anterior capitis muscle,,Cervical spinal nerves (C1-C2),Vertebral artery,Lateral mass of atlas (C1),Basilar part of occipital bone,Flexes head at atlanto-occipital joint
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suboccipital / prevertebral muscles,Subokcipitálne / prevertebrálne svaly,Subokzipitale / prävertebrale Muskeln,Musculus rectus lateralis capitis,Rectus lateralis capitis muscle,,Cervical spinal nerve (C1),Vertebral artery,Transverse process of atlas (C1),Jugular process of occipital bone,Lateral flexion of head
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,Laterale Halsmuskeln (Skalenusgruppe),Musculus scalenus anterior,Anterior scalene muscle,,Cervical spinal nerves (C4-C6),Ascending cervical artery,Anterior tubercles of transverse processes C3-C6,Scalene tubercle of first rib,Flexes neck and elevates first rib during inspiration
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,Laterale Halsmuskeln (Skalenusgruppe),Musculus scalenus medius,Middle scalene muscle,,Cervical spinal nerves (C3-C8),Ascending cervical artery,Posterior tubercles of transverse processes C2-C7,First rib,Elevates first rib and laterally flexes neck
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,Laterale Halsmuskeln (Skalenusgruppe),Musculus scalenus posterior,Posterior scalene muscle,,Cervical spinal nerves (C6-C8),Ascending cervical artery,Posterior tubercles of transverse processes C4-C6,Second rib,Elevates second rib and laterally flexes neck
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,Laterale Halsmuskeln (Skalenusgruppe),Musculus scalenus minimus,Scalenus minimus muscle,,Cervical spinal nerves (C7-C8),Ascending cervical artery,Transverse process of C7 vertebra,First rib and suprapleural membrane,Tenses cervical pleura and assists in elevation of first rib
Muscles of the Neck,Svaly krku,Nackenmuskeln,Sternocleidomastoid muscle,Kývač hlavy (m. sternocleidomastoideus),Musculus sternocleidomastoideus,Musculus sternocleidomastoideus,Sternocleidomastoid muscle,"Caput claviculare, Caput sternale",Accessory nerve (CN XI); cervical plexus (C2-C3),Occipital artery; superior thyroid artery,Manubrium sterni and medial clavicle,Mastoid process and superior nuchal line,Rotates head to opposite side and flexes neck
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,Suprahyoidale Muskeln,Musculus digastricus,Digastric muscle,"Venter anterior, Venter posterior, Tendo intermedius",Facial nerve (CN VII); mandibular nerve (V3),"Facial artery, occipital artery",Mandible (anterior belly) and mastoid notch (posterior belly),Body and greater horn of hyoid bone via intermediate tendon,Elevates hyoid and depresses mandible
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,Suprahyoidale Muskeln,Musculus stylohyoideus,Stylohyoid muscle,,Facial nerve (CN VII),"Primary supply - Posterior auricular artery, Secondary supply - facial/occipital artery",Styloid process of temporal bone,Body of hyoid bone,Elevates and retracts hyoid bone
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,Suprahyoidale Muskeln,Musculus mylohyoideus,Mylohyoid muscle,,Mandibular nerve (V3),Submental artery,Mylohyoid line of mandible,Hyoid bone and median raphe,Elevates floor of mouth and hyoid
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,Suprahyoidale Muskeln,Musculus geniohyoideus,Geniohyoid muscle,,Hypoglossal nerve (CN XII via C1),Lingual artery,Inferior mental spine of mandible,Body of hyoid bone,Pulls hyoid anteriorly and shortens floor of mouth
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,Infrahyoidale Muskeln,Musculus sternohyoideus,Sternohyoid muscle,,Ansa cervicalis (C1-C3),Superior thyroid artery,Manubrium sterni and medial clavicle,Body of hyoid bone,Depresses hyoid bone
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,Infrahyoidale Muskeln,Musculus omohyoideus,Omohyoid muscle,"Venter superior, Venter inferior, Tendo intermedius",Ansa cervicalis (C1-C3),Superior thyroid artery; transverse cervical artery,Superior border of scapula,Body of hyoid bone,Depresses and stabilizes hyoid bone
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,Infrahyoidale Muskeln,Musculus sternothyreoideus,Sternothyroid muscle,,Ansa cervicalis (C2-C3),Superior thyroid artery,Posterior surface of manubrium sterni and first costal cartilage,Oblique line of thyroid cartilage,Depresses larynx
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,Infrahyoidale Muskeln,Musculus thyreohyoideus,Thyrohyoid muscle,,Cervical spinal nerve C1 (via hypoglossal nerve),Superior thyroid artery,Oblique line of thyroid cartilage,Body and greater horn of hyoid bone,Depresses hyoid or elevates larynx
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,Infrahyoidale Muskeln,Musculus levator glandulae thyreoideae,Levator glandulae thyreoideae muscle,,Ansa cervicalis (variable),Superior thyroid artery,Thyroid cartilage or hyoid bone,Thyroid gland,Elevates thyroid gland
Muscles of the Larynx,Svaly hrtana,Kehlkopfmuskulatur,Intrinsic laryngeal muscles,Vnútorné svaly hrtana,Innere Kehlkopfmuskeln,Musculus cricothyroideus,Cricothyroid muscle,,External branch of superior laryngeal nerve,Superior laryngeal artery,Anterolateral cricoid cartilage,Inferior margin of thyroid cartilage,Tenses vocal cords
Muscles of the Larynx,Svaly hrtana,Kehlkopfmuskulatur,Intrinsic laryngeal muscles,Vnútorné svaly hrtana,Innere Kehlkopfmuskeln,Musculus cricoarytenoideus posterior,Posterior cricoarytenoid muscle,,Recurrent laryngeal nerve,Inferior laryngeal artery,Posterior cricoid lamina,Muscular process of arytenoid cartilage,Abducts vocal cords
Muscles of the Larynx,Svaly hrtana,Kehlkopfmuskulatur,Intrinsic laryngeal muscles,Vnútorné svaly hrtana,Innere Kehlkopfmuskeln,Musculus cricoarytenoideus lateralis,Lateral cricoarytenoid muscle,,Recurrent laryngeal nerve,Inferior laryngeal artery,Upper border of cricoid cartilage,Muscular process of arytenoid cartilage,Adducts vocal cords
Muscles of the Larynx,Svaly hrtana,Kehlkopfmuskulatur,Intrinsic laryngeal muscles,Vnútorné svaly hrtana,Innere Kehlkopfmuskeln,Musculus arytenoideus transversus,Transverse arytenoid muscle,,Recurrent laryngeal nerve,Inferior laryngeal artery,Posterior surface of arytenoid cartilage,Opposite arytenoid cartilage,Closes posterior rima glottidis
Muscles of the Larynx,Svaly hrtana,Kehlkopfmuskulatur,Intrinsic laryngeal muscles,Vnútorné svaly hrtana,Innere Kehlkopfmuskeln,Musculus arytenoideus obliquus,Oblique arytenoid muscle,,Recurrent laryngeal nerve,Inferior laryngeal artery,Apex of arytenoid cartilage,Aryepiglottic fold,Narrows laryngeal inlet
Muscles of the Larynx,Svaly hrtana,Kehlkopfmuskulatur,Intrinsic laryngeal muscles,Vnútorné svaly hrtana,Innere Kehlkopfmuskeln,Musculus thyroarytenoideus,Thyroarytenoid muscle,,Recurrent laryngeal nerve,Inferior laryngeal artery,Inner surface of thyroid cartilage,Arytenoid cartilage,Relaxes vocal cords
Muscles of the Larynx,Svaly hrtana,Kehlkopfmuskulatur,Intrinsic laryngeal muscles,Vnútorné svaly hrtana,Innere Kehlkopfmuskeln,Musculus vocalis,Vocalis muscle,,Recurrent laryngeal nerve,Inferior laryngeal artery,Thyroid cartilage,Vocal ligament,Fine tension control of vocal cords
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,Pharynxmuskulatur,Musculus constrictor superior pharyngis,Superior pharyngeal constrictor muscle,"Pars pterygopharyngea, Pars buccopharyngea",Pharyngeal plexus (CN X),Ascending pharyngeal artery; facial artery,Pterygoid hamulus and buccinator region,Pharyngeal raphe,Constriction of pharynx during swallowing
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,Pharynxmuskulatur,Musculus constrictor medius pharyngis,Middle pharyngeal constrictor muscle,,Pharyngeal plexus (CN X),Ascending pharyngeal artery,Greater and lesser horns of hyoid bone,Pharyngeal raphe,Constriction of pharynx during swallowing
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,Pharynxmuskulatur,Musculus constrictor inferior pharyngis,Inferior pharyngeal constrictor muscle,"Pars thyropharyngea, Pars cricopharyngea",Pharyngeal plexus (CN X),Ascending pharyngeal artery; inferior thyroid artery,Thyroid and cricoid cartilages,Pharyngeal raphe and esophagus,Constriction of lower pharynx and regulation of esophageal entry
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Longitudinal pharyngeal muscles,Longitudinálne svaly hltanu,Longitudinale Pharynxmuskeln,Musculus stylopharyngeus,Stylopharyngeus muscle,,Glossopharyngeal nerve (CN IX),Ascending pharyngeal artery,Styloid process of temporal bone,Pharyngeal wall and thyroid cartilage,Elevates pharynx and larynx during swallowing
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Longitudinal pharyngeal muscles,Longitudinálne svaly hltanu,Longitudinale Pharynxmuskeln,Musculus palatopharyngeus,Palatopharyngeus muscle,,Pharyngeal plexus (CN X),Ascending palatine artery,Palatine aponeurosis and hard palate,Pharyngeal wall and thyroid cartilage,Elevates pharynx and closes nasopharynx
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Longitudinal pharyngeal muscles,Longitudinálne svaly hltanu,Longitudinale Pharynxmuskeln,Musculus salpingopharyngeus,Salpingopharyngeus muscle,,Pharyngeal plexus (CN X),Ascending pharyngeal artery,Cartilage of auditory tube,Pharyngeal wall,Elevates pharynx and opens auditory tube
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur,Palatal muscles,Podnebné svaly,Gaumenmuskulatur,Musculus levator veli palatini,Levator veli palatini muscle,,Pharyngeal plexus (CN X),Ascending palatine artery; ascending pharyngeal artery,Petrous part of temporal bone and auditory tube cartilage,Palatine aponeurosis,Elevates soft palate
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur,Palatal muscles,Podnebné svaly,Gaumenmuskulatur,Musculus tensor veli palatini,Tensor veli palatini muscle,,Mandibular nerve (V3),Middle meningeal artery,Scaphoid fossa and auditory tube cartilage,Palatine aponeurosis,Tenses soft palate and opens auditory tube
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur,Palatal muscles,Podnebné svaly,Gaumenmuskulatur,Musculus uvulae,Uvula muscle,,Pharyngeal plexus (CN X),Ascending palatine artery,Palatine aponeurosis,Mucosa of uvula,Shortens and elevates uvula
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur,Palatal muscles,Podnebné svaly,Gaumenmuskulatur,Musculus palatoglossus,Palatoglossus muscle,,Pharyngeal plexus (CN X),Ascending palatine artery,Palatine aponeurosis,Side of tongue,Elevates posterior tongue and narrows oropharyngeal isthmus
