term_category,latin_translation,latin_gender,latin_declension,latin_genitive,latin_accusative,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,synonyms_en,synonyms_de,synonyms_sk,related_terms,notes,noun,adjective,verb,preposition,phrase
,Alienus,m.,II,Alieni,Alienum,Foreign,Not belonging,Ausländisch,Keine Zugehörigkeit,Zahraničný,Nepodarí,,,,,,1,0,0,0,0
,Allergicus,,,Allergici,Allergicum,Allergic,Relating to allergies,Allergisch,In Bezug auf Allergien,Alergický,Týkajúce sa alergií,,,,,,0,1,0,0,0
,Alveolaris,,,Alveolaris,Alveolarem,Alveolar,Relating to alveoli,Alveolar,In Bezug auf Alveoli,Alveolárny,Týkajúce sa alveol,,,,,,0,1,0,0,0
,Ampulla,f.,I,Ampullae,Ampullam,Ampulla,Dilated vessel part,Ampulle,Erweiterter Schiffsteil,Ampulla,Dilatačná plavidlo,,,,,,1,0,0,0,0
,Amputatio,f.,III,Amputationis,Amputationem,Amputation,Surgical limb removal,Amputation,Chirurgische Gliedmaßenentfernung,Amputácia,Odstránenie chirurgickej končatiny,,,,,,1,0,0,0,0
,Anaerobicus,m.,II,Anaerobici,Anaerobicum,Anaerobic,Living without oxygen,Anaerob,Ohne Sauerstoff leben,Anaeróbny,Život bez kyslíka,,,,,,1,0,0,0,0
,Anaesthesia,f.,I,Anaesthesiae,Anaesthesiam,Anesthesia,Loss of sensation,Anästhesie,Verlust der Empfindung,Anestézia,Strata pocitu,,,,,,1,0,0,0,0
,Analis,,,Analis,Analem,Anal,Relating to the anus,Anal,In Bezug auf den Anus,Análny,Týkajúce sa konečníka,,,,,,0,1,0,0,0
,Anatomicus,,,Anatomici,Anatomicum,Anatomical,Relating to anatomy,Anatomisch,In Bezug auf Anatomie,Anatomický,Týkajúce sa anatómie,,,,,,0,1,0,0,0
,Aneurysma,f.,I,Aneurysmae,Aneurysmam,Aneurysm,Localized vessel dilation,Aneurysma,Lokalisierte Gefäßdilatation,Aneuryzma,Lokalizovaná dilatácia plavidla,,,,,,1,0,0,0,0
,Angulus,m.,II,Anguli,Angulum,Angle,Corner or bend,Winkel,Ecke oder Biegung,Uhol,Roh alebo ohnúť sa,,,,,,1,0,0,0,0
,Anus,m.,II,Ani,Anum,Anus,Inferior opening of anal canal,Anus,Minderwertige Öffnung des Analkanals,Konečník,Nižšie otvorenie análneho kanála,,,,,,1,0,0,0,0
,Ante (Acc.),,,,,Before,,Vor,,Pred,,,,,,,0,0,0,1,0
,Antebrachium,n.,II,Antebrachii,Antebrachium,Forearm,Part of the arm,Unterarm,Teil des Arms,Predlaktie,Časť ruky,,,,,,1,0,0,0,0
,Anteflexio,f.,III,Anteflexionis,Anteflexionem,Anteflexion,Forward bending,Anteflexion,Vorwärtsbiegung,Anteflexia,Ohýbanie,,,,,,1,0,0,0,0
,Antepositio,f.,III,Antepositionis,Antepositionem,Anteposition,Forward positioning,Anposition,Vorwärtspositionierung,Antepozícia,Poloha orgánu vpred,,,,,,1,0,0,0,0
,Antiallergicus,m.,II,Antiallergici,Antiallergicum,Antiallergic,Against allergy,Antiallergiker,Gegen Allergie,Antialergický,Proti alergii,,,,,,1,0,0,0,0
,Antidiabeticus,m.,II,Antidiabetici,Antidiabeticum,Antidiabetic,Against diabetes,Antidiabetikum,Gegen Diabetes,Antidiabetický,Proti cukrovke,,,,,,1,0,0,0,0
,Antihaemorrhagicus,m.,II,Antihaemorrhagici,Antihaemorrhagicum,Antihemorrhagic,Prevents bleeding,Antihämorrhagisch,Verhindert Blutungen,Antihemoragický,Zabraňuje krvácaniu,,,,,,1,0,0,0,0
,Anularis,,,Anularis,Anularem,Anular,Ring-shaped,Anular,Ringförmig,Akulárny,V tvare krúžku,,,,,,0,1,0,0,0
,Apertura,f.,I,Aperturae,Aperturam,Aperture,Opening or hole,Öffnung,Öffnung oder Loch,Otvor,Otvor alebo otvor,,,,,,1,0,0,0,0
,Apertus,m.,II,Aperti,Apertum,Open,Not closed,Offen,Nicht geschlossen,Otvorené,Nie zatvorený,,,,,,1,0,0,0,0
,Apex,m.,III,Apicis,Apicem,Apex,Tip of an organ,Apex,Spitze einer Organ,Vrchol,Špička orgánu,,,,,,1,0,0,0,0
,Appendix,f.,III,Appendicis,Appendicem,Appendix,Small attached organ,Anhang,Kleine angeschlossene Orgel,Príloha,Pripevnený orgán,,,,,,1,0,0,0,0
,Aqua,f.,I,Aquae,Aquam,Water,Essential substance for life,Wasser,Wesentliche Substanz fürs Leben,Voda,Základná látka na celý život,,,,,,1,0,0,0,0
,Aromaticus,m.,II,Aromatici,Aromaticum,Aromatic,Having a strong scent,Aromatisch,Einen starken Duft haben,Aromatický,Mať silnú vôňu,,,,,,1,0,0,0,0
,Ars,f.,III,Artis,Artem,Art,Skill or craft,Kunst,Geschicklichkeit oder Handwerk,Umenia,Zručnosť,,,,,,1,0,0,0,0
,Ascendens,,,Ascendentis,Ascendentem,Ascending,Moving upwards,Aufsteigend,Nach oben bewegen,Vzostupný,Pohybovať sa hore,,,,,,0,1,0,0,0
,Ascites,f.,V,Asciteos,Ascitem,Ascites,Fluid accumulation in abdomen,Aszites,Flüssigkeitsakkumulation im Bauch,Udelenie,Hromadenie tekutín v bruchu,,,,,,1,0,0,0,0
,Atypicus,m.,II,Atypici,Atypicum,Atypical,Not typical,Atypisch,Nicht typisch,Atypický,Nie typický,,,,,,1,0,0,0,0
,Auditus,m.,II,Auditi,Auditum,Hearing,Sense of hearing,Anhörung,Hörgefühl,Vypočutie,Zmysel pre vypočutie,,,,,,1,0,0,0,0
,Auricularis,,,Auricularis,Auricularem,Auricular,Relating to the ear,Aurikulär,In Bezug auf das Ohr,Osudový,Týkajúce sa ucha,,,,,,0,1,0,0,0
,Auris,,,Auris,Aurem,Ear,Hearing organ,Ohr,Hörorgan,Ucho,Vypočúvaný orgán,,,,,,0,1,0,0,0
,Autointoxicatio,f.,III,Autointoxicationis,Autointoxicationem,Self-intoxication,Self-poisoning,Selbstausfallung,Selbstvergiftung,Samostatná intoxikácia,Sebaobrany,,,,,,1,0,0,0,0
,Axis,,,Axis,Axem,Axis,Central line,Achse,Zentrale Linie,Osi,Centrálna čiara,,,,,,0,1,0,0,0
,Basalis,,,Basalis,Basalem,Basal,Relating to base,Basal,In Bezug auf die Basis,Bazálny,Týkajúce sa základne,,,,,,0,1,0,0,0
,Basis,,,Basis,Basim,Base,Bottom part,Base,Unterteil,Základňa,Spodná časť,,,,,,0,1,0,0,0
,Bicuspidalis,,,Bicuspidalis,Bicuspidalem,Bicuspid,Having two cusps,Bicuspid,Zwei Höcker haben,Bicuspid,Mať dva hroty,,,,,,0,1,0,0,0
,Bifurcatio,f.,III,Bifurcationis,Bifurcationem,Bifurcation,Splitting into two,Gabelung,Sich in zwei Teile teilen,Rozdvojenie,Rozdelenie na dva,,,,,,1,0,0,0,0
,Benignus,m.,II,Benigni,Benignum,Benign,Non-malignant,Gutartig,Nicht-Malignes,Bohorováčik,Nemotorný,,,,,,1,0,0,0,0
,Bonus,m.,II,Boni,Bonum,Good,Of high quality,Gut,Von hoher Qualität,Dobrý,Vysoká kvalita,,,,,,1,0,0,0,0
,Boricus,m.,II,Borici,Boricum,Boric,Related to boron,Bor,Im Zusammenhang mit Bor,Borivý,Súvisiace s bórom,,,,,,1,0,0,0,0
,Brachialis,,,Brachialis,Brachialem,Brachial,Relating to arm,Brachial,In Bezug auf Arm,Brachiálny,Súvisiace s rukou,,,,,,0,1,0,0,0
,Brachium,n.,II,Brachii,Brachium,Arm,Part between shoulder and elbow,Arm,Teil zwischen Schulter und Ellbogen,Rameno,Časť medzi ramenom a lakťom,,,,,,1,0,0,0,0
,Brevis,,,Brevis,Brevem,Short,Having small length,Kurz,Kleine Länge haben,Krátky,Mať malú dĺžku,,,,,,0,1,0,0,0
,Bulbus,m.,II,Bulbi,Bulbum,Bulb,Rounded part,Birne,Abgerundeter Teil,Žiarovka,Zaoblená časť,,,,,,1,0,0,0,0
,Bursa,f.,I,Bursae,Bursam,Bursa,Fluid-filled sac,Schleimbeutel,Flüssigkeitssack,Bursa,Vak naplnený tekutinou,,,,,,1,0,0,0,0
,Canaliculus,m.,II,Canaliculi,Canalicum,Canaliculus,Small channel,Canaliculus,Kleiner Kanal,Kanál,Malý kanál,,,,,,1,0,0,0,0
,Canalis,,,Canalis,Canalem,Canal,Passageway,Kanal,Durchgang,Kanál,Priechod,,,,,,0,1,0,0,0
,Capsularis,,,Capsularis,Capsularem,Capsular,Relating to a capsule,Kapsel,In Bezug auf eine Kapsel,Kapsulárny,Týkajúce sa kapsuly,,,,,,0,1,0,0,0
,Caput,n.,III,Capitis,Caput,Head,Uppermost part,Kopf,Oberster Teil,Hlavná strana,Najvyššia časť,,,,,,1,0,0,0,0
,Caries,f.,V,Cariesei,Cariesem,Caries,Tooth decay,Karies,Karies,Kaz,Zubný kaz,,,,,,1,0,0,0,0
,Carpometacarpalis,,,Carpometacarpalis,Carpometacarpalem,Carpometacarpal,Relating to wrist & metacarpals,Karpometakarpal,Im Zusammenhang mit Handgelenk und Metacarpals,Carpometacarpal,Týkajúce sa zápästia a metacarpals,,,,,,0,1,0,0,0
,Causa,f.,I,Causae,Causam,Cause,Reason or motive,Ursache,Grund oder Motiv,Spôsob,Dôvod alebo motív,,,,,,1,0,0,0,0
,Cavus,m.,II,Cavi,Cavum,Hollow,Concave shape,Hohl,Konkave Form,Dutina,Konkávny tvar,,,,,,1,0,0,0,0
,Cavitas,f.,III,Cavitatis,Cavitatem,Cavity,Hollow space,Hohlraum,Hohlraum,Dutina,Dutina,,,,,,1,0,0,0,0
,Centrum,n.,II,Centri,Centrum,Center,Middle part,Center,Mittlerer Teil,Stred,Stredná časť,,,,,,1,0,0,0,0
,Cervicalis,,,Cervicalis,Cervicalem,Cervical,Relating to the neck,Zervikal,Im Zusammenhang mit dem Hals,Krčný,Týkajúce sa krku,,,,,,0,1,0,0,0
,Cervicobrachialis,,,Cervicobrachialis,Cervicobrachialem,Cervicobrachial,Relating to neck & arm,Zervicobrachial,In Bezug auf Neck & Arm,Cervicobrachiálny,Týkajúce sa krku a ruky,,,,,,0,1,0,0,0
,Cervicothoracicus,,,Cervicothoracici,Cervicothoracicum,Cervicothoracic,Relating to neck & chest,Gebärmutterhals,In Bezug auf Neck & Brust,Krčný,Týkajúce sa krku a hrudníka,,,,,,0,1,0,0,0
,China,f.,I,Chinae,Chinam,Quina,Tropical tree,Quina,Tropenbaum,Quina,Tropický strom,,,,,,1,0,0,0,0
,Chronicus,m.,II,Chronici,Chronicum,Chronic,Long-term condition,Chronisch,Langzeitbedingung,Chronický,Dlhodobý stav,,,,,,1,0,0,0,0
,Cirulatorius,,,Cirulatorii,Cirulatorium,Circulatory,Relating to circulation,Kreislauf,In Bezug auf den Kreislauf,Obvodný,Týkajúce sa obehu,,,,,,0,1,0,0,0
,Circumoralis,,,Circumoralis,Circumoralem,Circumoral,Around the mouth,Umfang,Um den Mund,Obvodový,Okolo úst,,,,,,0,1,0,0,0
,Clausus,m.,II,Clausi,Clausum,Closed,Not open,Geschlossen,Nicht offen,ZATVORENÉ,Neotvorený,,,,,,1,0,0,0,0
,Cleidocostalis,,,Cleidocostalis,Cleidocostalem,Cleidocostal,Relating to clavicle and rib,Cleventocostal,In Bezug auf Schlüsselbein und Rippe,Cleidokostál,Týkajúce sa kosti a rebier,,,,,,0,1,0,0,0
,Collapsus,m.,II,Collapsi,Collapsum,Collapse,Breakdown,Zusammenbruch,Abbauen,Zrútenie,Rozpad,,,,,,1,0,0,0,0
,Collum,n.,II,Colli,Collum,Neck,Narrow body part,Nacken,Enger Körperteil,Krk,Úzka časť tela,,,,,,1,0,0,0,0
,Costovertebralis,,,Costovertebralis,Costovertebralem,Costovertebral,Relating to ribs and vertebrae,Costovertebral,In Bezug auf Rippen und Wirbel,Nákladný,Týkajúce sa rebier a stavcov,,,,,,0,1,0,0,0
,Columna vertebralis,,I,Columnae vertebralis,Columnam vertebralem,Vertebral column,,Wirbelsäule,,Stavcový stĺp,,,,,,,0,0,0,0,1
,Communis,,,Communis,Communem,Common,Shared,Gemeinsam,Geteilt,Bežný,Zdieľaný,,,,,,0,1,0,0,0
,Completus,m.,II,Completi,Completum,Complete,Fully formed,Vollständig,Vollständig gebildet,Dokončiť,Plne formovaný,,,,,,1,0,0,0,0
,Complicatus,m.,II,Complicati,Complicatum,Complicated,Difficult,Kompliziert,Schwierig,Komplikovaný,Ťažký,,,,,,1,0,0,0,0
,Compositus,m.,II,Compositi,Compositum,Composed,Made up of parts,Komponiert,Bestehend aus Teilen,Zložený,Tvorené dielmi,,,,,,1,0,0,0,0
,Congenitus,m.,II,Congeniti,Congenitum,Congenital,Present at birth,Angeboren,Bei der Geburt anwesend,Vrodený,Prítomný pri narodení,,,,,,1,0,0,0,0
,Contusio,f.,III,Contusionis,Contusionem,Contusion,Bruise,Prellung,Prellung,Pokles,Modrina,,,,,,1,0,0,0,0
,Cranium,n.,II,Cranii,Cranium,Cranium,Skull,Schädel,Schädel,Lebka,Lebka,,,,,,1,0,0,0,0
,Crassus,m.,II,Crassi,Crassum,Thick,Dense or fat,Dick,Dicht oder fett,Hrubý,Hustý alebo tučný,,,,,,1,0,0,0,0
,Cricoideus,m.,II,Cricoidei,Cricoideum,Cricoid,Ring-shaped cartilage,Cricoid,Ringförmiger Knorpel,Krik,Chrupavka v tvare krúžku,,,,,,1,0,0,0,0
,Cruciatus,m.,II,Cruciati,Cruciatum,Cruciate,Cross-shaped,Kreuz,Kreuzförmig,Kričať,Krížový tvar,,,,,,1,0,0,0,0
,Crus,n.,III,Cruris,Crus,Leg,Lower limb,Bein,Untere Extremität,Noha,Dolná končatina,,,,,,1,0,0,0,0
,Curvatura,f.,I,Curvaturae,Curvaturam,Curvature,Bent shape,Krümmung,Gebogene Form,Zakrivenie,Ohýbanie tvaru,,,,,,1,0,0,0,0
,Cuspis,,,Cuspidis,Cuspidem,Cusp,Pointed end,Höcker,Spitzes Ende,Hrot,Špicatý koniec,,,,,,0,1,0,0,0
,Cystis,,,Cystis,Cystem,Cyst,Fluid-filled sac,Zyste,Flüssigkeitssack,Cysta,Vak naplnený tekutinou,,,,,,0,1,0,0,0
,Cystoides,f.,V,Cystoidesei,Cystoidesem,Cystoid,Resembling a cyst,Zystoid,Ähnlich einer Zyste,Cystoid,Pripomínajúci cysta,,,,,,1,0,0,0,0
,Decimus,m.,II,Decimi,Decimum,Tenth,Ordinal number,Zehntel,Ordinalzahl,Desiaty,Číslo,,,,,,1,0,0,0,0
,Deciduus,m.,II,Decidui,Deciduum,Deciduous,Shedding,Laub,Verschütten,Listnatý,Vylučovanie,,,,,,1,0,0,0,0
,Decubitus,m.,II,Decubiti,Decubitum,Bedsore,Pressure ulcer,Dekubitus,Druckgeschwür,Posteľ,Tlakový vred,,,,,,1,0,0,0,0
,Deformans,,III,Deformantis,Deformantem,Deforming,Changing shape,Verformung,Formwechsel,Deformovanie,Meniace sa tvar,,,,,,0,0,1,0,0
,Dehydratatio,f.,III,Dehydratationis,Dehydratationem,Dehydration,Loss of body fluids,Dehydration,Verlust von Körperflüssigkeiten,Dehydratácia,Strata telesných tekutín,,,,,,1,0,0,0,0
,Dentalis,,,Dentalis,Dentalem,Dental,Relating to teeth,Zahnärztlich,In Bezug auf die Zähne,Zubný,Súvisiaca so zubami,,,,,,0,1,0,0,0
,Dentatus,m.,II,Dentati,Dentatum,Dentate,Tooth-shaped,Gezähnt,Zahnförmig,Zubný dom,V tvare zubov,,,,,,1,0,0,0,0
,Descendens,,,Descendentis,Descendentem,Descending,Moving downward,Absteigend,Sich nach unten bewegen,Zostupný,Pohybujúci sa nadol,,,,,,0,1,0,0,0
,Destilllatus,m.,II,Destilllati,Destilllatum,Distilled,Purified by heating,Destilliert,Durch Heizung gereinigt,Destilovaný,Očistené zahrievaním,,,,,,1,0,0,0,0
,Dexter,m.,II,Dextri,Dextrum,Right,On the right side,Rechts,Auf der rechten Seite,Pravý,Na pravej strane,,,,,,1,0,0,0,0
,Dorsum,n.,II,Dorsi,Dorsum,Back,Upper side of body part,Zurück,Oberseite des Körperteils,Chrbát,Horná strana tela,,,,,,1,0,0,0,0
,Dosis,,,Dosis,Dosim,Dose,Quantity of medicine,Dosis,Menge der Medizin,Dávka,Množstvo liekov,,,,,,0,1,0,0,0
,Duodecimus,m.,II,Duodecimi,Duodecimum,Twelfth,Ordinal number,Zwölfte,Ordinalzahl,Dvanástina,Číslo,,,,,,1,0,0,0,0
,Duodenalis,,,Duodenalis,Duodenalem,Duodenal,Relating to duodenum,Duodenal,In Bezug auf Duodenum,Dvanástnitý,Týkajúce sa duodenu,,,,,,0,1,0,0,0
,Duplex,m..,III,Duplex,Duplicem,Double,Having two parts,Doppelt,Zwei Teile haben,Zdvojnásobiť,Mať dve časti,,,,,,1,0,0,0,0
,Durus,m.,II,Duri,Durum,Hard,Not soft,Hart,Nicht weich,Ťažko,Nie mäkký,,,,,,1,0,0,0,0
,Dystopia,f.,I,Dystopiae,Dystopiam,Dystopia,Abnormal organ location,Dystopie,Abnormaler Orgelort,Dystopia,Abnormálne umiestnenie orgánov,,,,,,1,0,0,0,0
,Efferens,,,Efferentis,Efferentem,Efferent,Carrying away,Efferent,Wegtragen,Elegantný,Odchod,,,,,,0,1,0,0,0
,Effervescens,,,Effervescentis,Effervescentem,Effervescent,Producing bubbles,Sprudel,Blasen produzieren,Šumivý,Výroba bublín,,,,,,0,1,0,0,0
,Endocrinus,m.,II,Endocrini,Endocrinum,Endocrine,Hormone-secreting,Endokrin,Hormonsekreting,Endokrinný,Vylučovanie hormónov,,,,,,1,0,0,0,0
,Endogenes,f.,V,Endogenesei,Endogenesem,Endogenous,Originating internally,Endogen,Intern entstehen,Endogénny,Vznikajúci interne,,,,,,1,0,0,0,0
,Endometrium,n.,II,Endometrii,Endometrium,Endometrium,Uterine lining,Endometrium,Uterusfutter,Endometria,Podšívka maternice,,,,,,1,0,0,0,0
,Epicondylus,m.,II,Epicondyli,Epicondylum,Epicondyle,Bony prominence,Epicondyle,Knochenmut,Epicondyle,Kosti,,,,,,1,0,0,0,0
,Epididymis,,,Epididymidis,Epididymidem,Epididymis,Sperm storage organ,Epididymis,Spermienspeicherorgan,Epididymis,Ukladanie spermií,,,,,,0,1,0,0,0
,Epiduralis,,,Epiduralis,Epiduralem,Epidural,Above the dura mater,Epidural,Über der Dura Mater,Epidurálny,Nad dura mater,,,,,,0,1,0,0,0
,Epithelialis,,,Epithelialis,Epithelialem,Epithelial,Relating to epithelium,Epithel,In Bezug auf Epithel,Epitelový,Týkajúce sa epitelu,,,,,,0,1,0,0,0
,Epithelium,n.,II,Epithelii,Epithelium,Epithelium,Tissue lining,Epithel,Gewebefutter,Epitel,Tkanivová podšívka,,,,,,1,0,0,0,0
,Erythrocytes,f.,V,Erythrocytesei,Erythrocytesem,Erythrocytes,Red blood cells,Erythrozyten,Rote Blutkörperchen,Erytrocyty,Červené krvinky,,,,,,1,0,0,0,0
,Euthanasia,f.,I,Euthanasiae,Euthanasiam,Euthanasia,Mercy killing,Euthanasie,Barmherzigkeit Tötung,Eutanázia,Zabíjanie milosrdenstva,,,,,,1,0,0,0,0
,Excision,f.,III,Excisionis,Excisionem,Excision,Surgical removal,Exzision,Operative Entfernung,Excízia,Chirurgické odstránenie,,,,,,1,0,0,0,0
,Exclusion,f.,III,Exclusionis,Exclusionem,Exclusion,Elimination,Ausschluss,Beseitigung,Vylúčenie,Vylúčenie,,,,,,1,0,0,0,0
,Exitus,m.,II,Exiti,Exitum,Outcome,End result,Ergebnis,Endergebnis,Výsledok,Konečný výsledok,,,,,,1,0,0,0,0
,Exitus letalis,,II,Exiti letalis,Exitum letalem,Lethal outcome,,Tödliches Ergebnis,,Smrtiaci výsledok,,,,,,,0,0,0,0,1
,Exogenes,f.,V,Exogenesei,Exogenesem,Exogenous,Originating externally,Exogen,Ursprung extern,Exogénny,Pochádza z vonkajšej strany,,,,,,1,0,0,0,0
,Expedition,f.,III,Expeditionis,Expeditionem,Package,Prepared medicine package,Paket,Vorbereitete Medizinpaket,Balík,Pripravený lekársky balíček,,,,,,1,0,0,0,0
,Expedition originalis,,III,Expeditionis originalis,Expeditionem originalem,Original package,,Originalpaket,,Originálny balík,,,,,,,0,0,0,0,1
,Extensio,f.,III,Extensionis,Extensionem,Extension,Stretching of limb,Verlängerung,Dehnung der Gliedmaßen,Rozšírenie,Roztiahnutie končatiny,,,,,,1,0,0,0,0
,Exterior,,,Exterioris,Exteriorem,Exterior,Outer,Äußerlich,Äußere,Exteriér,Vonkajší,,,,,,0,1,0,0,0
,Externus,m.,II,Externi,Externum,External,Outside,Extern,Draußen,Vonkajší,Vonkajší,,,,,,1,0,0,0,0
,Extracellularis,,,Extracellularis,Extracellularem,Extracellular,Outside the cell,Extrazellulär,Außerhalb der Zelle,Extracelulárny,Mimo bunky,,,,,,0,1,0,0,0
,Facialis,,,Facialis,Facialem,Facial,Relating to the face,Gesichts,In Bezug auf das Gesicht,Tvár,Súvisiace s tvárou,,,,,,0,1,0,0,0
,Facies,f.,V,Faciesei,Faciesem,Face,Surface of body part,Gesicht,Oberfläche des Körperteils,Tvár,Časť tela,,,,,,1,0,0,0,0
,Falciformis,,,Falciformis,Falciformem,Falciform,Sickle-shaped,Falciform,Sichelförmig,Falciform,Kosáčikovitý,,,,,,0,1,0,0,0
,Fasciculus,m.,II,Fasciculi,Fasciculum,Fascicle,Bundle of fibers,Faszikel,Bündel von Fasern,Fascinovať,Zväzok vlákien,,,,,,1,0,0,0,0
,Femininus,,,Feminini,Femininum,Feminine,Relating to female,Feminin,In Bezug auf weiblich,Ženský,Týkajúce sa ženy,,,,,,0,1,0,0,0
,Fetus,m.,II,Feti,Fetum,Fetus,Unborn baby,Fötus,Ungeborenes Baby,Plod,Nenarodené dieťa,,,,,,1,0,0,0,0
,Fissura,f.,I,Fissurae,Fissuram,Fissure,Deep groove,Spalt,Tiefe Groove,Trhlina,Hlboká drážka,,,,,,1,0,0,0,0
,Flexion,f.,III,Flexionis,Flexionem,Flexion,Bending movement,Beugung,Biegebewegung,Ohyb,Ohýbanie,,,,,,1,0,0,0,0
,Flexus,m.,II,Flexi,Flexum,Bent,Curved,Gebogen,Gebogen,Ohýbať sa,Zakrivený,,,,,,1,0,0,0,0
,Fluidus,m.,II,Fluidi,Fluidum,Fluid,Liquid substance,Flüssigkeit,Flüssige Substanz,Tekutý,Kvapalná látka,,,,,,1,0,0,0,0
,Fluorisatio,f.,III,Fluorisationis,Fluorisationem,Fluoridation,Adding fluoride,Fluoridierung,Fluorid hinzufügen,Fluoridácia,Pridanie fluoridu,,,,,,1,0,0,0,0
,Foramen,n.,III,Foraminis,Foramen,Foramen,Opening,Foramen,Öffnung,Predzvesť,Úvodný,,,,,,1,0,0,0,0
,Fossa,f.,I,Fossae,Fossam,Fossa,Depression or hollow,Fossa,Depression oder hohl,Fossa,Depresia alebo dutina,,,,,,1,0,0,0,0
,Fovea,f.,I,Foveae,Foveam,Fovea,Small pit,Fovea,Kleine Grube,Fovea,Malá jama,,,,,,1,0,0,0,0
,Fragilis,,,Fragilis,Fragilem,Fragile,Easily broken,Zerbrechlich,Leicht gebrochen,Krehký,Ľahko zlomený,,,,,,0,1,0,0,0
,Frontalis,,,Frontalis,Frontalem,Frontal,Relating to forehead,Frontal,In Bezug auf die Stirn,Predný,Súvisiaci na čele,,,,,,0,1,0,0,0
,Fundus,m.,II,Fundi,Fundum,Fundus,Bottom part of organ,Fundus,Unterer Teil des Organs,Základ,Spodná časť orgánu,,,,,,1,0,0,0,0
,Gangraena,f.,I,Gangraenae,Gangraenam,Gangrene,Tissue death,Gangrän,Taschentaum,Gangréna,Smrť tkaniva,,,,,,1,0,0,0,0
,Gelum,n.,II,Geli,Gelum,Gel,Semi-solid substance,Gel,Halbfeste Substanz,Gél,Polotuhá látka,,,,,,1,0,0,0,0
,Generalis,,,Generalis,Generalem,General,Not specific,Allgemein,Nicht spezifisch,Všeobecný,Nie konkrétny,,,,,,0,1,0,0,0
